"stock_name","common_name","stock_area","assessment_level","overfishing","overfished","scientific_name","last_assessment","model_category","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Region","Functional_group","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","Winfinity","tmax","tm","Lm","Temperature","ln_var","rho","ln_MASPS","ln_margsd","h","logitbound_h","ln_Fmsy_over_M","ln_Fmsy","ln_r","ln_G","G","Fmsy_over_M","Fmsy","MASPS","margsd","Loo","K","M","r"
"Snow crab - Bering Sea","Snow crab","Bering Sea",NA,"Unknown","Unknown","Chionoecetes _ opilio",2021,5,0,1,2,0,1,"bering_sea","Crab",2.6,1.73,1.13,4,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southern Tanner crab - Bering Sea","Southern Tanner crab","Bering Sea",NA,"No","No","Chionoecetes _ bairdi",2021,5,0,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska plaice - Bering Sea / Aleutian Islands","Alaska plaice","Bering Sea / Aleutian Islands",NA,"No","No","Pleuronectes _ quadrituberculatus",2021,6,0,0,0,0,1,"bering_sea","Flatfish",1.65,1.4,1.35,4,1.75,1550.66017821314,35.7037007430504,7.00657036285672,28.7476804521519,5.85310902941354,-1.6589936971293,0.57079262881778,0.410913664562744,-0.602384660467391,0.761881535434549,1.0183734587048,1.02029249157969,-1.14134936310675,-1.78948009912248,2.96473575338263,19.6986088111411,2.7740060187184,0.319387760856678,1.5081951402501,0.547504465879403,50.6796053973681,0.12157059919399,0.115699339522169,0.183818403496958
"Alaska skate - Bering Sea / Aleutian Islands","Alaska skate","Bering Sea / Aleutian Islands",NA,"Unknown","Unknown","Bathyraja _ parmifera",NA,NA,NA,NA,NA,NA,NA,"bering_sea","Elasmobranch",2.93,1.6,1.2,4,1.67,4374.54917415543,22.3789773732274,11.4905498205401,56.3343664086964,14.6520735512744,-3.85437383831597,0.826836722167172,-0.897233776576869,-1.20731629488999,0.526920197979969,-0.596808564872897,-0.226087900948197,-1.99000448178011,-2.84066922176522,2.89903928401378,20.3933695640089,0.797647984569869,0.136694812808058,0.407695879225716,0.298998627802887,95.2807598781962,0.095076750052102,0.172061328092248,0.121529303921641
"Arrowtooth flounder - Bering Sea / Aleutian Islands","Arrowtooth flounder","Bering Sea / Aleutian Islands",NA,"No","No","Atheresthes _ stomias",2021,6,0,0,1,0,0,"bering_sea","Flatfish",1.8,1.12,1.56,4,2,3985.70293825309,23.9943393178376,6.17624306102174,35.6761819177518,9.15821153537775,-2.59588556719163,0.701774667836712,1.25686006007029,-0.869349496707111,0.809967732148959,1.49776449943033,1.30330061558563,-0.472191156814897,-1.43492680790143,2.72744145175711,15.7461302205201,3.68142761417139,0.623634289578482,3.51436923645069,0.419224167269833,71.0656015485192,0.120054401015883,0.169304206794959,0.272949490030881
"Atka mackerel - Bering Sea / Aleutian Islands","Atka mackerel","Bering Sea / Aleutian Islands",NA,"No","No","Pleurogrammus _ monopterygius",2020,6,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,678.057606865002,11.5015393902664,3.37118420796062,33.4429427088781,8.14430388892681,-0.0629753437682365,0.160649394215125,0.130162206107814,-0.00070488651324866,0.513690806745715,-0.573708731137506,-0.11541787803776,-0.812821628473316,-1.60428107882214,1.71057860534083,5.60324235338074,0.890993739386944,0.443604611260432,1.13901312322671,0.999295361860888,41.5761263210045,0.41776421966651,0.501333719572401,0.260131067010092
"Flathead sole - Bering Sea / Aleutian Islands","Flathead sole","Bering Sea / Aleutian Islands",NA,"Unknown","Unknown","Hippoglossoides _ elassodon",NA,NA,NA,NA,NA,NA,NA,"bering_sea","Flatfish",1.9,1.75,1.4,4,1.6,1207.7487202763,20.2435079195597,4.99621176105686,25.1110086013185,4.27299366251759,-2.06100066555343,0.60936372500231,1.86519583247199,-0.735029831626027,0.854398291450654,1.88748004906269,1.54383190320511,0.048553277252719,-1.07049761867996,2.48355158054876,12.4024797309418,4.68249881939676,1.04975129819572,6.4572002916766,0.479491154760724,47.7562214983566,0.13568678561196,0.219074886305891,0.386726809679852
"Giant octopus - Bering Sea / Aleutian Islands","Giant octopus","Bering Sea / Aleutian Islands",NA,"Unknown","Unknown","Enteroctopus _ dofleini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenland halibut - Bering Sea / Aleutian Islands","Greenland halibut","Bering Sea / Aleutian Islands",NA,"No","No","Reinhardtius _ hippoglossoides",2021,6,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,26456.5229146773,34.0073312596797,10.3764713229552,60.8890384823081,3.47758179296952,-3.32323836724615,0.854908646943243,1.37389218661072,-0.973894072688501,0.889629834142931,2.09096479801157,1.67844107692544,-0.598268517062228,-1.66398692112203,3.2483007901015,26.7869024295819,5.35719799852158,0.54976271723074,3.95069766201032,0.377609731641019,131.735468490868,0.0647367224366528,0.10280322904478,0.203951360418264
"Kamchatka flounder - Bering Sea / Aleutian Islands","Kamchatka flounder","Bering Sea / Aleutian Islands",NA,"No","No","Atheresthes _ evermanni",2021,6,1,1,1,1,0,"bering_sea","Flatfish",1.96,1.28,1.6,4,2.2,7335.02215893678,27.1095795728718,6.95977834361895,43.2079729724719,9.15376707878988,-2.68707511489876,0.717927082200995,0.964339884247661,-0.887549195600923,0.787725970274102,1.3324201841875,1.19746987145287,-0.701377066314647,-1.61834807053187,2.84920602393681,18.1941447612369,3.3117272181217,0.495901943521402,2.62305556454947,0.411663423975854,86.9215764379917,0.107702442136867,0.149608475922417,0.238486954220784
