"scientific_name","ComName","Last_assessment","avg_model_category","Catch_gap","Abundance_gap","LH_gap","Comp_gap","Eco_gap","Region","Functional_group","Repro_strat","Hab_spec","Prey_spec","Exposure","Sensitivity"
"Merluccius _ australis","Haddock",2019,4,0,1,1,1,2,"neva","Groundfish",1.92,1.96,1.36,4,2.36
"Melanogrammus _ aeglefinus","Haddock",2019,4,0,1,1,1,2,"neva","Groundfish",1.92,1.96,1.36,4,2.36
"Seriolella _ brama","Haddock",2019,4,0,1,1,1,2,"neva","Groundfish",1.92,1.96,1.36,4,2.36
"Zoarces _ americanus","Ocean pout",2020,2,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
"Merluccius _ albidus","Offshore hake",2011,2,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
"Pseudopleuronectes _ americanus","Winter flounder",2020,4,1,1,2,1,4,NA,NA,NA,NA,NA,NA,NA
"Glyptocephalus _ cynoglossus","Witch flounder",2019,2,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
"Limanda _ ferruginea","Yellowtail flounder",2021,2,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA
"Squalus _ suckleyi","Pacific spiny dogfish",2021,6,2,0,1,0,2,NA,NA,NA,NA,NA,NA,NA
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ acanthias","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ megalops","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ mitsukurii","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ mitsukurii","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ mitsukurii","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ mitsukurii","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ mitsukurii","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ mitsukurii","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ suckleyi","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ suckleyi","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ suckleyi","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ suckleyi","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Squalus _ suckleyi","Spiny dogfish",2018,5,1,0,0,0,2,"general","Elasmobranch",2.75,1.15,1.1,3.95,2.3
"Squalus _ suckleyi","Spiny dogfish",2018,5,1,0,0,0,2,"sava","Elasmobranchs",1.3,1.5,1.2,4,2
"Centropristis _ striata","Black sea bass",2019.5,6,1,1,2,1,2,"gulf","Offshore Bottomfish",2.76,1.72,1.68,4,2.16
"Centropristis _ striata","Black sea bass",2019.5,6,1,1,2,1,2,"sava","Reef Fish",2.4,1.7,1.3,4,2.3
"Centropristis _ striata","Black sea bass",2019.5,6,1,1,2,1,2,"gulf","Offshore Bottomfish",2.76,1.72,1.68,4,2.16
"Centropristis _ striata","Black sea bass",2019.5,6,1,1,2,1,2,"sava","Reef Fish",2.4,1.7,1.3,4,2.3
"Centropristis _ striata","Black sea bass",2019.5,6,1,1,2,1,2,"gulf","Offshore Bottomfish",2.76,1.72,1.68,4,2.16
"Centropristis _ striata","Black sea bass",2019.5,6,1,1,2,1,2,"sava","Reef Fish",2.4,1.7,1.3,4,2.3
"Stereolepis _ gigas","Black sea bass",2019.5,6,1,1,2,1,2,"gulf","Offshore Bottomfish",2.76,1.72,1.68,4,2.16
"Stereolepis _ gigas","Black sea bass",2019.5,6,1,1,2,1,2,"sava","Reef Fish",2.4,1.7,1.3,4,2.3
"Stereolepis _ gigas","Black sea bass",2019.5,6,1,1,2,1,2,"gulf","Offshore Bottomfish",2.76,1.72,1.68,4,2.16
"Stereolepis _ gigas","Black sea bass",2019.5,6,1,1,2,1,2,"sava","Reef Fish",2.4,1.7,1.3,4,2.3
"Stereolepis _ gigas","Black sea bass",2019.5,6,1,1,2,1,2,"gulf","Offshore Bottomfish",2.76,1.72,1.68,4,2.16
"Stereolepis _ gigas","Black sea bass",2019.5,6,1,1,2,1,2,"sava","Reef Fish",2.4,1.7,1.3,4,2.3
"Stenotomus _ chrysops","Scup",2021,6,1,0,2,1,0,"neva","Coastal",1.28,1.4,1.32,4,1.76
"Paralichthys _ dentatus","Summer flounder",2021,6,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
