"scientific_name","common_name","stock_name","stock_area","overfishing","overfished","assessment_level","last_assessment","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","tmax","tm","rho","Fmsy_over_M","MASPS","margsd","Loo","K","M","r","status","tmax2","margsd2","rho2","Fmsy_over_M2","status2","avg_p_score","avg_s_score","score"
"Gadus _ chalcogrammus","Walleye pollock","Walleye pollock - Aleutian Islands","Aleutian Islands","No","No",2,3,0,3,3,1,3,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,1,1,1,3,1.85714285714286,2,1.92857142857143
"Gadus _ chalcogrammus","Walleye pollock","Walleye pollock - Bogoslof","Bogoslof","No","Unknown",2,3,0,3,3,3,3,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1.85714285714286,2,1.92857142857143
"Gadus _ chalcogrammus","Walleye pollock","Walleye pollock - Eastern Bering Sea","Eastern Bering Sea","No","No",2,3,0,3,3,3,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,1,1,1,3,1.85714285714286,2.07692307692308,1.96703296703297
"Gadus _ chalcogrammus","Walleye pollock","Walleye pollock - Southeast Gulf of Alaska","Southeast Gulf of Alaska","Unknown","Unknown",2,3,0,3,2,3,3,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Gadus _ chalcogrammus","Walleye pollock","Walleye pollock - Western / Central / West Yakutat Gulf of Alaska","Western / Central / West Yakutat Gulf of Alaska","No","No",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,1,1,1,3,1.85714285714286,1.92307692307692,1.89010989010989
"Gadus _ macrocephalus","Pacific cod","Pacific cod - Aleutian Islands","Aleutian Islands","No","Unknown",2,3,0,3,1,1,3,2,2,2,2,2,2,2,1,1,2,1,2,2,3,2,2,2,1,1,1,2,1.92857142857143,1.69230769230769,1.81043956043956
"Gadus _ macrocephalus","Pacific cod","Pacific cod - Bering Sea","Bering Sea","No","No",2,3,1,2,3,3,2,2,2,2,2,2,2,2,1,1,2,1,2,2,3,2,3,2,1,1,1,3,1.92857142857143,2.07692307692308,2.00274725274725
"Gadus _ macrocephalus","Pacific cod","Pacific cod - Gulf of Alaska","Gulf of Alaska","No","No",2,3,0,3,3,3,3,2,2,2,2,2,2,2,1,1,2,1,2,2,3,2,3,2,1,1,1,3,1.92857142857143,2.15384615384615,2.04120879120879
"Gadus _ morhua","Atlantic cod","Atlantic cod - Eastern Georges Bank","Eastern Georges Bank","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1.76923076923077,1.88461538461538
"Gadus _ morhua","Atlantic cod","Atlantic cod - Georges Bank","Georges Bank","Unknown","Unknown",2,3,1,3,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1.84615384615385,1.92307692307692
"Gadus _ morhua","Atlantic cod","Atlantic cod - Gulf of Maine","Gulf of Maine","Unknown","Unknown",2,3,1,3,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1.92307692307692,1.96153846153846
"Glyptocephalus _ cynoglossus","Witch flounder","Witch flounder - Northwestern Atlantic Coast","Northwestern Atlantic Coast","Unknown","Unknown",2,2,0,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1.85714285714286,1.69230769230769,1.77472527472527
"Glyptocephalus _ zachirus","Rex sole","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1.85714285714286,1.76923076923077,1.81318681318681
"Glyptocephalus _ zachirus","Rex sole","Rex sole - Eastern Gulf of Alaska","Eastern Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1.85714285714286,1.76923076923077,1.81318681318681
"Glyptocephalus _ zachirus","Rex sole","Rex sole - Gulf of Alaska","Gulf of Alaska","No","No",2,2,0,3,3,3,3,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,3,2,2,1,1,3,1.85714285714286,2.07692307692308,1.96703296703297
"Glyptocephalus _ zachirus","Rex sole","Rex sole - Pacific Coast","Pacific Coast","Unknown","No",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1.85714285714286,1.76923076923077,1.81318681318681
"Glyptocephalus _ zachirus","Rex sole","Rex sole - Western / Central Gulf of Alaska","Western / Central Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1.85714285714286,1.76923076923077,1.81318681318681
"Gymnocanthus _ detrisus","Purplegray sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Gymnocanthus _ galeatus","Armorhead sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Gymnocanthus _ tricuspis","Arctic staghorn sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,3,1,1,3,3,3,2,3,1,1,1,2,2.21428571428571,1.76923076923077,1.99175824175824
"Hemilepidotus _ hemilepidotus","Red irish lord","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2.07142857142857,1.92307692307692,1.99725274725275
"Hemilepidotus _ jordani","Yellow irish lord","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2.07142857142857,1.92307692307692,1.99725274725275
"Hemilepidotus _ jordani","Yellow irish lord","Gulf of Alaska Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2.07142857142857,1.92307692307692,1.99725274725275
"Hemilepidotus _ papilio","Butterfly sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2.07142857142857,1.92307692307692,1.99725274725275
"Hemitripterus _ bolini","Bigmouth sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,3,2,1,3,3,3,2,3,2,1,1,2,2.35714285714286,1.76923076923077,2.06318681318681
"Hemitripterus _ bolini","Bigmouth sculpin","Gulf of Alaska Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,3,2,1,3,3,3,2,3,2,1,1,2,2.35714285714286,1.76923076923077,2.06318681318681
"Hexagrammos _ decagrammus","Kelp greenling","Kelp greenling - Oregon","Oregon","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,3,3,3,2,3,1,1,1,2,2.14285714285714,1.76923076923077,1.95604395604396
"Hippoglossoides _ elassodon","Flathead sole","Flathead sole - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,1,2,1,3,2,1,1,2,2,2,2,2,2,1,2,2.14285714285714,1.84615384615385,1.99450549450549
"Hippoglossoides _ elassodon","Flathead sole","Flathead sole - Gulf of Alaska","Gulf of Alaska","No","No",2,3,0,3,3,3,3,3,3,3,1,3,2,1,2,1,3,2,1,1,2,2,3,2,2,2,1,3,2.14285714285714,2.23076923076923,2.18681318681319
"Hippoglossoides _ platessoides","American plaice","American plaice - Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","No","No",2,2,1,3,3,3,2,2,2,2,2,2,2,1,2,1,3,2,2,1,1,2,3,2,2,2,1,3,1.85714285714286,2.23076923076923,2.04395604395604
"Hippoglossus _ hippoglossus","Atlantic halibut","Atlantic halibut - Northwestern Atlantic Coast","Northwestern Atlantic Coast","Unknown","Unknown",2,3,3,2,1,1,2,2,2,2,2,2,1,1,3,1,2,3,3,1,1,2,2,1,3,3,1,2,1.85714285714286,2.07692307692308,1.96703296703297
"Hippoglossus _ stenolepis","Pacific halibut","Pacific halibut - Pacific Coast / Alaska","Pacific Coast / Alaska","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,2,1,1,3,1,2,3,3,1,1,2,2,1,3,3,1,2,2,2,2
"Hipposcarus _ longiceps","Pacific longnose parrotfish","Pacific longnose parrotfish - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,3,2,3,1,3,2,2,1,1,2,2,1,3,2,2,2,2,2,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Hyporthodus _ flavolimbatus","Yellowedge grouper","Yellowedge grouper - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,1,0,3,3,3,2,2,3,3,1,2,2,1,3,1,2,2,2,1,2,2,2,2,2,3,1,2,2,2,2
"Hyporthodus _ niveatus","Snowy grouper","Snowy grouper - Southern Atlantic Coast","Southern Atlantic Coast","Yes","Yes",2,3,1,2,2,2,3,2,2,3,1,2,2,1,3,1,2,2,2,1,1,2,1,2,2,3,1,1,1.85714285714286,1.92307692307692,1.89010989010989
"Hyporthodus _ quernus","Hawaiian grouper","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,2,2,1,3,1,2,2,2,1,2,2,2,2,2,3,1,2,2.07142857142857,2,2.03571428571429
"Icelus _ spatula","Spatulate sclupin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,3,2,1,2,3,3,2,3,2,2,1,2,2.28571428571429,1.92307692307692,2.1043956043956
"Icelus _ spiniger","Thorny sclupin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2.07142857142857,1.92307692307692,1.99725274725275
"Illex _ illecebrosus","Northern shortfin squid","Northern shortfin squid - Northwestern Atlantic Coast","Northwestern Atlantic Coast","Unknown","Unknown",1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2,2,2,2,2.07142857142857,2.07692307692308,2.07417582417582
"Isopsetta _ isolepis","Butter sole","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,3,2,3,2,2,2,1,1,2,2.14285714285714,1.76923076923077,1.95604395604396
"Isopsetta _ isolepis","Butter sole","Gulf of Alaska Shallow Water Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,3,2,3,2,2,2,1,1,2,2.14285714285714,1.76923076923077,1.95604395604396
"Istiophorus _ platypterus","Sailfish","Sailfish - Western Atlantic","Western Atlantic","Unknown","Unknown",2,2,1,3,3,2,2,2,2,2,2,2,3,3,1,3,1,2,3,3,3,2,2,3,2,1,3,2,2.35714285714286,2,2.17857142857143
"Isurus _ oxyrinchus","Shortfin mako","Shortfin mako - North Atlantic","North Atlantic","Unknown","Unknown",2,2,1,3,3,3,3,2,2,2,2,2,2,1,2,3,1,3,3,1,1,1,2,2,3,2,3,2,1.85714285714286,2.30769230769231,2.08241758241758
"Isurus _ oxyrinchus","Shortfin mako","Shortfin mako - North Pacific","North Pacific","Unknown","Unknown",2,2,0,3,3,3,3,2,2,2,2,2,2,1,2,3,1,3,3,1,1,1,2,2,3,2,3,2,1.85714285714286,2.23076923076923,2.04395604395604
"Kajikia _ albida","White marlin","White marlin - Atlantic","Atlantic","Unknown","Unknown",2,2,1,3,2,2,3,2,2,2,2,2,3,2,1,2,1,2,3,3,3,2,2,3,2,1,2,2,2.28571428571429,1.92307692307692,2.1043956043956
"Kajikia _ audax","Striped marlin","Striped marlin - Eastern Pacific","Eastern Pacific","Unknown","Unknown",2,1,0,3,3,3,3,3,3,3,1,3,2,2,1,3,1,2,3,3,3,2,2,2,2,1,3,2,2.42857142857143,1.92307692307692,2.17582417582418
"Kajikia _ audax","Striped marlin","Striped marlin - Western and Central North Pacific","Western and Central North Pacific","Unknown","Unknown",2,2,1,3,3,3,3,3,3,3,1,3,2,2,1,3,1,2,3,3,3,2,2,2,2,1,3,2,2.42857142857143,2.07692307692308,2.25274725274725
"Katsuwonus _ pelamis","Skipjack tuna","Skipjack tuna - Eastern Pacific","Eastern Pacific","Unknown","Unknown",1,2,0,3,3,3,1,3,3,3,1,3,3,3,1,1,2,1,2,3,3,3,2,3,1,1,1,2,2.57142857142857,1.61538461538462,2.09340659340659
"Katsuwonus _ pelamis","Skipjack tuna","Skipjack tuna - Western Atlantic","Western Atlantic","Unknown","Unknown",2,1,1,3,2,2,2,3,3,3,1,3,3,3,1,1,2,1,2,3,3,3,2,3,1,1,1,2,2.57142857142857,1.61538461538462,2.09340659340659
"Katsuwonus _ pelamis","Skipjack tuna","Skipjack tuna - Western and Central Pacific","Western and Central Pacific","Unknown","Unknown",2,2,1,3,3,3,2,3,3,3,1,3,3,3,1,1,2,1,2,3,3,3,2,3,1,1,1,2,2.57142857142857,1.84615384615385,2.20879120879121
"Lachnolaimus _ maximus","Hogfish","Hogfish - Carolinas","Carolinas","Unknown","Unknown",2,2,1,2,3,3,2,1,2,2,1,2,2,2,3,1,3,2,1,2,2,3,2,2,2,3,1,2,2,2.07692307692308,2.03846153846154
"Lachnolaimus _ maximus","Hogfish","Hogfish - Eastern Gulf of Mexico","Eastern Gulf of Mexico","Unknown","Unknown",2,2,0,3,3,3,3,1,2,2,1,2,2,2,3,1,3,2,1,2,2,3,2,2,2,3,1,2,2,2.15384615384615,2.07692307692308
"Lachnolaimus _ maximus","Hogfish","Hogfish - Florida Keys / East Florida","Florida Keys / East Florida","Unknown","Unknown",2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,1,3,2,1,2,2,3,2,2,2,3,1,2,2,2,2
"Lamna _ ditropis","Salmon shark","Bering Sea / Aleutian Islands Shark Complex","","Unknown","Unknown",1,2,2,2,2,2,2,2,3,3,1,2,2,1,1,3,1,2,3,1,1,1,2,2,2,1,3,2,1.85714285714286,1.76923076923077,1.81318681318681
"Lamna _ ditropis","Salmon shark","Gulf of Alaska Shark Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,2,2,1,1,3,1,2,3,1,1,1,2,2,2,1,3,2,1.85714285714286,1.84615384615385,1.85164835164835
"Lamna _ nasus","Porbeagle","Porbeagle - Northwestern Atlantic","Northwestern Atlantic","Unknown","Unknown",2,3,0,3,3,2,3,3,3,3,1,3,1,1,2,3,1,3,3,1,1,1,2,1,3,2,3,2,2,2.15384615384615,2.07692307692308
"Lepidopsetta _ bilineata","Rock sole","Rock sole - Central Gulf of Alaska","Central Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ bilineata","Rock sole","Rock sole - Gulf of Alaska","Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ bilineata","Rock sole","Rock sole - Western Gulf of Alaska","Western Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ bilineata","Southern rock sole","Gulf of Alaska Shallow Water Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ polyxystra","Northern rock sole","Gulf of Alaska Shallow Water Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole","Northern rock sole - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole","Northern rock sole - Central Gulf of Alaska","Central Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole","Northern rock sole - Gulf of Alaska","Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole","Northern rock sole - Western Gulf of Alaska","Western Gulf of Alaska","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Lethrinus _ olivaceus","Longnose emperor","Longnose emperor - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1.92857142857143,1.92307692307692,1.92582417582418
"Lethrinus _ rubrioperculatus","Redgill emperor","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,1.92307692307692,1.96153846153846
"Lethrinus _ rubrioperculatus","Redgill emperor","Guam Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,1.92307692307692,1.96153846153846
"Lethrinus _ rubrioperculatus","Redgill emperor","Northern Mariana Islands Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,1.92307692307692,1.96153846153846
"Lethrinus _ xanthochilus","Yellowlip emperor","Yellowlip emperor - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Leucoraja _ erinacea","Little skate","Little skate - Georges Bank / Southern New England","Georges Bank / Southern New England","Unknown","Unknown",2,2,3,3,3,3,3,2,2,2,2,2,2,1,1,3,1,3,1,2,2,1,2,2,3,1,3,2,1.85714285714286,2.30769230769231,2.08241758241758
"Leucoraja _ garmani","Rosette skate","Rosette skate - Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","Unknown","Unknown",2,3,3,3,3,3,3,2,2,2,2,2,2,1,2,3,1,3,2,2,2,1,2,2,3,2,3,2,1.92857142857143,2.53846153846154,2.23351648351648
"Leucoraja _ ocellata","Winter skate","Winter skate - Georges Bank / Southern New England","Georges Bank / Southern New England","Unknown","Unknown",2,3,3,3,3,3,2,2,2,2,2,2,2,1,2,3,1,3,2,1,2,1,2,2,3,2,3,2,1.85714285714286,2.46153846153846,2.15934065934066
"Limanda _ aspera","Yellowfin sole","Gulf of Alaska Shallow Water Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1.84615384615385,1.92307692307692
"Limanda _ aspera","Yellowfin sole","Yellowfin sole - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","No","No",2,3,0,3,3,3,3,3,3,3,1,3,2,1,2,1,2,2,1,1,1,2,3,2,2,2,1,3,2,2.23076923076923,2.11538461538462
"Limanda _ ferruginea","Yellowtail flounder","Yellowtail flounder - Cape Cod / Gulf of Maine","Cape Cod / Gulf of Maine","No","No",2,2,1,3,3,3,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,3,2,1,1,1,3,1.78571428571429,2.07692307692308,1.93131868131868
"Limanda _ ferruginea","Yellowtail flounder","Yellowtail flounder - Georges Bank","Georges Bank","Unknown","Unknown",2,3,1,3,3,3,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1.78571428571429,2,1.89285714285714
"Limanda _ ferruginea","Yellowtail flounder","Yellowtail flounder - Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","Unknown","Unknown",2,2,0,3,3,3,3,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Limanda _ proboscidea","Longhead dab","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,2,1,1,2,2,1.76923076923077,1.88461538461538
"Limanda _ sakhalinensis","Sakhalin sole","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,2,1,1,2,2,1.76923076923077,1.88461538461538
"Liopsetta _ glacialis","Arctic flounder","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,1,1,2,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Lithodes _ aequispinus","Golden king crab","Golden king crab - Aleutian Islands","Aleutian Islands","Unknown","Unknown",2,3,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2.07142857142857,2.30769230769231,2.18956043956044
"Lithodes _ aequispinus","Golden king crab","Golden king crab - Eastern Aleutian Islands","Eastern Aleutian Islands","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2.07142857142857,2,2.03571428571429
"Lithodes _ aequispinus","Golden king crab","Golden king crab - Pribilof Islands","Pribilof Islands","Unknown","Unknown",1,2,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2.07142857142857,2.07692307692308,2.07417582417582
"Lithodes _ aequispinus","Golden king crab","Golden king crab - Western Aleutian Islands","Western Aleutian Islands","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2.07142857142857,2,2.03571428571429
"Litopenaeus _ setiferus","White shrimp","White shrimp - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,3,1,3,2,2,3,2,3,3,1,1,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2.21428571428571,2.07692307692308,2.1456043956044
"Litopenaeus _ setiferus","White shrimp","White shrimp - Southern Atlantic Coast","Southern Atlantic Coast","Unknown","Unknown",1,2,2,2,1,1,2,2,3,3,1,1,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2.21428571428571,1.69230769230769,1.9532967032967
"Loligo _ pealeii","Longfin inshore squid","Longfin inshore squid - Georges Bank / Cape Hatteras","Georges Bank / Cape Hatteras","Unknown","Unknown",1,3,0,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2.07142857142857,1.76923076923077,1.92032967032967
"Lophius _ americanus","Goosefish","Goosefish - Gulf of Maine / Northern Georges Bank","Gulf of Maine / Northern Georges Bank","Unknown","Unknown",2,2,0,3,3,3,2,2,2,2,2,2,2,1,3,1,3,3,2,1,2,2,2,2,3,3,1,2,2.07142857142857,2.15384615384615,2.11263736263736
"Lophius _ americanus","Goosefish","Goosefish - Southern Georges Bank / Mid-Atlantic","Southern Georges Bank / Mid-Atlantic","Unknown","Unknown",2,2,0,3,3,3,2,2,2,2,2,2,2,1,3,1,3,3,2,1,2,2,2,2,3,3,1,2,2.07142857142857,2.15384615384615,2.11263736263736
"Lopholatilus _ chamaeleonticeps","Tilefish","Tilefish - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,1,0,3,3,3,2,2,2,3,1,2,1,1,3,1,2,2,2,1,1,2,2,1,2,3,1,2,1.71428571428571,2,1.85714285714286
"Lopholatilus _ chamaeleonticeps","Tilefish","Tilefish - Mid-Atlantic Coast","Mid-Atlantic Coast","No","No",2,3,2,2,2,2,2,2,2,3,1,2,1,1,3,1,2,2,2,1,1,2,3,1,2,3,1,3,1.71428571428571,2.23076923076923,1.97252747252747
"Lopholatilus _ chamaeleonticeps","Tilefish","Tilefish - Southern Atlantic Coast","Southern Atlantic Coast","No","No",2,3,1,2,2,2,3,2,2,3,1,2,1,1,3,1,2,2,2,1,1,2,3,1,2,3,1,3,1.71428571428571,2.23076923076923,1.97252747252747
"Lutjanus _ analis","Mutton snapper","Mutton snapper - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Unknown","Unknown",2,2,1,3,2,2,2,2,2,3,1,2,2,2,3,1,2,3,2,2,2,2,2,2,3,3,1,2,2.21428571428571,2,2.10714285714286
"Lutjanus _ campechanus","Red snapper","Red snapper - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,3,1,3,1,2,2,3,3,3,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2.28571428571429,1.84615384615385,2.06593406593407
"Lutjanus _ campechanus","Red snapper","Red snapper - Southern Atlantic Coast","Southern Atlantic Coast","Yes","Yes",2,3,1,3,2,2,3,3,3,3,1,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2.28571428571429,1.84615384615385,2.06593406593407
"Lutjanus _ fulvus","Blacktail snapper","Blacktail snapper - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1.92307692307692,1.96153846153846
"Lutjanus _ gibbus","Humpback red snapper","Humpback red snapper - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,1.92307692307692,1.96153846153846
"Lutjanus _ griseus","Gray snapper","Gray snapper - Gulf of Mexico","Gulf of Mexico","No","No",2,2,0,3,3,2,3,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,1,3,2.07142857142857,2.07692307692308,2.07417582417582
"Lutjanus _ kasmira","Bluestripe snapper","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,1,1,2,2,1,3,2,2,2,2,2,1,1,2,2.28571428571429,1.69230769230769,1.98901098901099
