FY,Science Center,FINSS Standard Name,VPASS Project Name,Cruise/Leg/Date/Platform
2023,NEFSC,Bottom Trawl Survey_Spring,NEFSC Spring Bottom Trawl Survey,"Cruise: 2023/05/08 ~ 2023/05/26 on Henry B. Bigelow
Cruise: 2023/04/12 ~ 2023/05/01 on Henry B. Bigelow
Cruise: 2023/05/08 ~ 2023/05/26 on Henry B. Bigelow"
2023,NEFSC,Coastal Shark Bottom Longline,,Cruise: NA ~ NA on Eagle Eye II
2023,NEFSC,Gulf of Maine Bottom Longline Survey_Fall,,"Cruise: 2022/10/10 ~ 2022/11/02 on Tenacious II
Cruise: 2022/10/10 ~ 2022/11/02 on Mary Elizabeth"
2023,NEFSC,Gulf of Maine Bottom Longline Survey_Spring,,"Cruise: 2023/04/10 ~ 2023/05/18 on Tenacious II
Cruise: 2023/04/24 ~ 2023/05/18 on Mary Elizabeth"
2023,NEFSC,NH/ME Inshore Trawl Survey_Fall,,Cruise: 2022/10/11 ~ 2022/11/24 on NA
2023,NEFSC,NH/ME Inshore Trawl Survey_Spring,,Cruise: 2023/05/02 ~ 2023/06/02 on NA
2023,NEFSC,North Atlantic Right whale Survey_Spring,,Cruise: 2023/05/08 ~ 2023/06/07 on Warren Jr
2023,NEFSC,North Atlantic Sea Turtle Survey,,Cruise: 2023/08/07 ~ 2023/08/28 on NA
2023,NEFSC,Northeast AMAPPS Marine Mammal and Turtle Abundance Aerial Survey,,"Cruise: 2022/10/03 ~ 2022/12/23 on N48RF, twin otter"
2023,NEFSC,Northeast Area Monitoring and Assessment Program (NEAMAP)_Fall (MDMR/VIMS),,Cruise: 2022/10/03 ~ 2022/10/28 on NA
2023,NEFSC,Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS),,Cruise: 2023/04/24 ~ 2023/05/28 on NA
2023,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Fall,Northeast Ecosystem Monitoring (EcoMon)_Fall,Cruise: 2022/11/02 ~ 2022/11/10 on PISCES
2023,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Spring,Northeast Ecosystem Monitoring (EcoMon)_Spring,Cruise: 2023/06/08 ~ 2023/06/28 on Henry B. Bigelow
2023,NEFSC,Northeast Ecosystem Monitoring (EcoMon)_Summer,Northeast Ecosystem Monitoring (EcoMon)_Summer,Cruise: 2023/08/08 ~ 2023/08/25 on Henry B. Bigelow
2023,NEFSC,Northeast Right Whale Aerial Survey,,Cruise: 2022/10/10 ~ NA on NA
2023,NEFSC,Northeast Sea Scallop_Summer,,Cruise: NA ~ NA on Hugh R. Sharp
2023,NEFSC,Plankton Sampling / Right Whale Observation,,Cruise: 2023/04/19 ~ 2023/04/25 on NA
2023,NEFSC,Shrimp Survey (ASMFC) Northern Shrimp,ASMFC Northern Shrimp Survey,Cruise: 2023/07/10 ~ 2023/08/20 on NA
2023,NEFSC,Wind Farm Site Biological and Habitat Survey,,Cruise: NA ~ NA on NA
2023,NWFSC,Integrated Ecosystem and Pacific Hake Acoustic Trawl Survey,The Integrated Ecosystem and Pacific Hake Acoustic Trawl Survey in support of Hake/Whiting Treaty,"Cruise: 2023/06/23 ~ 2023/09/10 on Bell M. Shimada
Cruise: 2023/07/12 ~ 2023/07/29 on Bell M. Shimada
Cruise: 2023/08/03 ~ 2023/08/21 on Bell M. Shimada
Cruise: 2023/08/26 ~ 2023/09/13 on Bell M. Shimada"
2023,NWFSC,Juvenile Salmon PNW Coastal_Spring,,
2023,NWFSC,Newport Line,,
2023,NWFSC,Northern California Current (NCC) Ecosystem Forecasting Survey -- Spring Upwelling Season Survey,Northern California Current (NCC) Ecosystem Forecasting Survey -- Spring/Summer Upwelling Season Survey,Cruise: 2023/05/22 ~ 2023/06/06 on Bell M. Shimada
2023,NWFSC,Northern California Current (NCC) Ecosystem Forecasting_Fall,Northern California Current (NCC) Ecosystem Forecasting Survey -- Autumn End of Upwelling Season Survey,Cruise: 2023/09/22 ~ NA on Bell M. Shimada
2023,NWFSC,Northern California Current (NCC) Ecosystem Forecasting_Winter,Northern California Current (NCC) Ecosystem Forecasting Survey -- Winter Preconditioning Survey,Cruise: 2023/02/15 ~ 2023/02/18 on Bell M. Shimada
2023,NWFSC,West Coast Groundfish Bottom Trawl_Fall,,"Cruise: 2023/08/21 ~ NA on Excalibur
Cruise: 2023/08/21 ~ NA on Noahs Ark"
2023,NWFSC,West Coast Groundfish Bottom Trawl_Spring,,"Cruise: 2023/05/15 ~ 2023/07/26 on Last Straw
Cruise: 2023/05/15 ~ NA on Ms. Julie"
