"scientific_name","stock_name","avg_p_score","avg_s_score","score"
"Enteroctopus _ dofleini","Giant octopus - Bering Sea / Aleutian Islands",2,2,2
"Enteroctopus _ dofleini","Giant octopus - Gulf of Alaska",2,1.92307692307692,1.96153846153846
"Eopsetta _ jordani","Bering Sea / Aleutian Islands Other Flatfish Complex",1.92857142857143,1.92307692307692,1.92582417582418
"Eopsetta _ jordani","Petrale sole - Pacific Coast",1.92857142857143,2.15384615384615,2.04120879120879
"Epinephelus _ guttatus","Red hind - Caribbean",2.07142857142857,2,2.03571428571429
"Epinephelus _ itajara","Goliath grouper - Gulf of Mexico",1.78571428571429,1.92307692307692,1.8543956043956
"Epinephelus _ itajara","Goliath grouper - Southern Atlantic Coast / Gulf of Mexico",1.78571428571429,1.84615384615385,1.81593406593407
"Epinephelus _ morio","Red grouper - Gulf of Mexico",2.07142857142857,2.23076923076923,2.1510989010989
"Epinephelus _ morio","Red grouper - Southern Atlantic Coast",2.07142857142857,2,2.03571428571429
"Etelis _ carbunculus","American Samoa Bottomfish Multi-species Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ carbunculus","Guam Bottomfish Multi-species Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ carbunculus","Northern Mariana Islands Bottomfish Multi-species Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ carbunculus","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ coruscans","American Samoa Bottomfish Multi-species Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ coruscans","Guam Bottomfish Multi-species Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ coruscans","Northern Mariana Islands Bottomfish Multi-species Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ coruscans","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ oculatus","Queen snapper - Caribbean",1.92857142857143,1.69230769230769,1.81043956043956
"Farfantepenaeus _ aztecus","Brown shrimp - Gulf of Mexico",2.14285714285714,2.07692307692308,2.10989010989011
"Farfantepenaeus _ aztecus","Brown shrimp - Southern Atlantic Coast",2.14285714285714,1.69230769230769,1.91758241758242
"Farfantepenaeus _ duorarum","Pink shrimp - Gulf of Mexico",2.14285714285714,2.07692307692308,2.10989010989011
"Farfantepenaeus _ duorarum","Pink shrimp - Southern Atlantic Coast",2.14285714285714,1.69230769230769,1.91758241758242
"Gadus _ chalcogrammus","Walleye pollock - Aleutian Islands",1.85714285714286,2,1.92857142857143
"Gadus _ chalcogrammus","Walleye pollock - Bogoslof",1.85714285714286,2,1.92857142857143
"Gadus _ chalcogrammus","Walleye pollock - Eastern Bering Sea",1.85714285714286,2.07692307692308,1.96703296703297
"Gadus _ chalcogrammus","Walleye pollock - Southeast Gulf of Alaska",1.85714285714286,1.92307692307692,1.89010989010989
"Gadus _ chalcogrammus","Walleye pollock - Western / Central / West Yakutat Gulf of Alaska",1.85714285714286,1.92307692307692,1.89010989010989
"Gadus _ macrocephalus","Pacific cod - Aleutian Islands",1.92857142857143,1.69230769230769,1.81043956043956
"Gadus _ macrocephalus","Pacific cod - Bering Sea",1.92857142857143,2.07692307692308,2.00274725274725
"Gadus _ macrocephalus","Pacific cod - Gulf of Alaska",1.92857142857143,2.15384615384615,2.04120879120879
"Gadus _ morhua","Atlantic cod - Eastern Georges Bank",2,1.76923076923077,1.88461538461538
"Gadus _ morhua","Atlantic cod - Georges Bank",2,1.84615384615385,1.92307692307692
"Gadus _ morhua","Atlantic cod - Gulf of Maine",2,1.92307692307692,1.96153846153846
"Glyptocephalus _ cynoglossus","Witch flounder - Northwestern Atlantic Coast",1.85714285714286,1.69230769230769,1.77472527472527
"Glyptocephalus _ zachirus","Bering Sea / Aleutian Islands Other Flatfish Complex",1.85714285714286,1.76923076923077,1.81318681318681
"Glyptocephalus _ zachirus","Rex sole - Eastern Gulf of Alaska",1.85714285714286,1.76923076923077,1.81318681318681
"Glyptocephalus _ zachirus","Rex sole - Gulf of Alaska",1.85714285714286,2.07692307692308,1.96703296703297
"Glyptocephalus _ zachirus","Rex sole - Pacific Coast",1.85714285714286,1.76923076923077,1.81318681318681
"Glyptocephalus _ zachirus","Rex sole - Western / Central Gulf of Alaska",1.85714285714286,1.76923076923077,1.81318681318681
"Gymnocanthus _ detrisus","Bering Sea / Aleutian Islands Sculpin Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Gymnocanthus _ galeatus","Bering Sea / Aleutian Islands Sculpin Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Gymnocanthus _ tricuspis","Bering Sea / Aleutian Islands Sculpin Complex",2.21428571428571,1.76923076923077,1.99175824175824
"Hemilepidotus _ hemilepidotus","Bering Sea / Aleutian Islands Sculpin Complex",2.07142857142857,1.92307692307692,1.99725274725275
"Hemilepidotus _ jordani","Bering Sea / Aleutian Islands Sculpin Complex",2.07142857142857,1.92307692307692,1.99725274725275
"Hemilepidotus _ jordani","Gulf of Alaska Sculpin Complex",2.07142857142857,1.92307692307692,1.99725274725275
"Hemilepidotus _ papilio","Bering Sea / Aleutian Islands Sculpin Complex",2.07142857142857,1.92307692307692,1.99725274725275
"Hemitripterus _ bolini","Bering Sea / Aleutian Islands Sculpin Complex",2.35714285714286,1.76923076923077,2.06318681318681
"Hemitripterus _ bolini","Gulf of Alaska Sculpin Complex",2.35714285714286,1.76923076923077,2.06318681318681
"Hexagrammos _ decagrammus","Kelp greenling - Oregon",2.14285714285714,1.76923076923077,1.95604395604396
"Hippoglossoides _ elassodon","Flathead sole - Bering Sea / Aleutian Islands",2.14285714285714,1.84615384615385,1.99450549450549
"Hippoglossoides _ elassodon","Flathead sole - Gulf of Alaska",2.14285714285714,2.23076923076923,2.18681318681319
"Hippoglossoides _ platessoides","American plaice - Gulf of Maine / Georges Bank",1.85714285714286,2.23076923076923,2.04395604395604
"Hippoglossus _ hippoglossus","Atlantic halibut - Northwestern Atlantic Coast",1.85714285714286,2.07692307692308,1.96703296703297
"Hippoglossus _ stenolepis","Pacific halibut - Pacific Coast / Alaska",2,2,2
"Hipposcarus _ longiceps","Pacific longnose parrotfish - Guam",2.21428571428571,1.69230769230769,1.9532967032967
"Hyporthodus _ flavolimbatus","Yellowedge grouper - Gulf of Mexico",2,2,2
"Hyporthodus _ niveatus","Snowy grouper - Southern Atlantic Coast",1.85714285714286,1.92307692307692,1.89010989010989
"Hyporthodus _ quernus","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex",2.07142857142857,2,2.03571428571429
"Icelus _ spatula","Bering Sea / Aleutian Islands Sculpin Complex",2.28571428571429,1.92307692307692,2.1043956043956
"Icelus _ spiniger","Bering Sea / Aleutian Islands Sculpin Complex",2.07142857142857,1.92307692307692,1.99725274725275
"Illex _ illecebrosus","Northern shortfin squid - Northwestern Atlantic Coast",2.07142857142857,2.07692307692308,2.07417582417582
"Isopsetta _ isolepis","Bering Sea / Aleutian Islands Other Flatfish Complex",2.14285714285714,1.76923076923077,1.95604395604396
"Isopsetta _ isolepis","Gulf of Alaska Shallow Water Flatfish Complex",2.14285714285714,1.76923076923077,1.95604395604396
"Istiophorus _ platypterus","Sailfish - Western Atlantic",2.35714285714286,2,2.17857142857143
"Isurus _ oxyrinchus","Shortfin mako - North Atlantic",1.85714285714286,2.30769230769231,2.08241758241758
"Isurus _ oxyrinchus","Shortfin mako - North Pacific",1.85714285714286,2.23076923076923,2.04395604395604
"Kajikia _ albida","White marlin - Atlantic",2.28571428571429,1.92307692307692,2.1043956043956
"Kajikia _ audax","Striped marlin - Eastern Pacific",2.42857142857143,1.92307692307692,2.17582417582418
"Kajikia _ audax","Striped marlin - Western and Central North Pacific",2.42857142857143,2.07692307692308,2.25274725274725
"Katsuwonus _ pelamis","Skipjack tuna - Eastern Pacific",2.57142857142857,1.61538461538462,2.09340659340659
"Katsuwonus _ pelamis","Skipjack tuna - Western Atlantic",2.57142857142857,1.61538461538462,2.09340659340659
"Katsuwonus _ pelamis","Skipjack tuna - Western and Central Pacific",2.57142857142857,1.84615384615385,2.20879120879121
"Lachnolaimus _ maximus","Hogfish - Carolinas",2,2.07692307692308,2.03846153846154
"Lachnolaimus _ maximus","Hogfish - Eastern Gulf of Mexico",2,2.15384615384615,2.07692307692308
"Lachnolaimus _ maximus","Hogfish - Florida Keys / East Florida",2,2,2
"Lamna _ ditropis","Bering Sea / Aleutian Islands Shark Complex",1.85714285714286,1.76923076923077,1.81318681318681
"Lamna _ ditropis","Gulf of Alaska Shark Complex",1.85714285714286,1.84615384615385,1.85164835164835
"Lamna _ nasus","Porbeagle - Northwestern Atlantic",2,2.15384615384615,2.07692307692308
"Lepidopsetta _ bilineata","Rock sole - Central Gulf of Alaska",1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ bilineata","Rock sole - Gulf of Alaska",1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ bilineata","Rock sole - Western Gulf of Alaska",1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ bilineata","Gulf of Alaska Shallow Water Flatfish Complex",1.71428571428571,1.92307692307692,1.81868131868132
"Lepidopsetta _ polyxystra","Gulf of Alaska Shallow Water Flatfish Complex",2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole - Bering Sea / Aleutian Islands",2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole - Central Gulf of Alaska",2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole - Gulf of Alaska",2.21428571428571,1.69230769230769,1.9532967032967
"Lepidopsetta _ polyxystra","Northern rock sole - Western Gulf of Alaska",2.21428571428571,1.69230769230769,1.9532967032967
"Lethrinus _ olivaceus","Longnose emperor - Guam",1.92857142857143,1.92307692307692,1.92582417582418
"Lethrinus _ rubrioperculatus","American Samoa Bottomfish Multi-species Complex",2,1.92307692307692,1.96153846153846
"Lethrinus _ rubrioperculatus","Guam Bottomfish Multi-species Complex",2,1.92307692307692,1.96153846153846
"Lethrinus _ rubrioperculatus","Northern Mariana Islands Bottomfish Multi-species Complex",2,1.92307692307692,1.96153846153846
"Lethrinus _ xanthochilus","Yellowlip emperor - Guam",1.85714285714286,1.92307692307692,1.89010989010989
"Leucoraja _ erinacea","Little skate - Georges Bank / Southern New England",1.85714285714286,2.30769230769231,2.08241758241758
"Leucoraja _ garmani","Rosette skate - Southern New England / Mid-Atlantic",1.92857142857143,2.53846153846154,2.23351648351648
"Leucoraja _ ocellata","Winter skate - Georges Bank / Southern New England",1.85714285714286,2.46153846153846,2.15934065934066
"Limanda _ aspera","Gulf of Alaska Shallow Water Flatfish Complex",2,1.84615384615385,1.92307692307692
"Limanda _ aspera","Yellowfin sole - Bering Sea / Aleutian Islands",2,2.23076923076923,2.11538461538462
"Limanda _ ferruginea","Yellowtail flounder - Cape Cod / Gulf of Maine",1.78571428571429,2.07692307692308,1.93131868131868
"Limanda _ ferruginea","Yellowtail flounder - Georges Bank",1.78571428571429,2,1.89285714285714
"Limanda _ ferruginea","Yellowtail flounder - Southern New England / Mid-Atlantic",1.78571428571429,1.92307692307692,1.8543956043956
"Limanda _ proboscidea","Bering Sea / Aleutian Islands Other Flatfish Complex",2,1.76923076923077,1.88461538461538
"Limanda _ sakhalinensis","Bering Sea / Aleutian Islands Other Flatfish Complex",2,1.76923076923077,1.88461538461538
"Liopsetta _ glacialis","Bering Sea / Aleutian Islands Other Flatfish Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Lithodes _ aequispinus","Golden king crab - Aleutian Islands",2.07142857142857,2.30769230769231,2.18956043956044
"Lithodes _ aequispinus","Golden king crab - Eastern Aleutian Islands",2.07142857142857,2,2.03571428571429
"Lithodes _ aequispinus","Golden king crab - Pribilof Islands",2.07142857142857,2.07692307692308,2.07417582417582
"Lithodes _ aequispinus","Golden king crab - Western Aleutian Islands",2.07142857142857,2,2.03571428571429
"Litopenaeus _ setiferus","White shrimp - Gulf of Mexico",2.21428571428571,2.07692307692308,2.1456043956044
"Litopenaeus _ setiferus","White shrimp - Southern Atlantic Coast",2.21428571428571,1.69230769230769,1.9532967032967
"Loligo _ pealeii","Longfin inshore squid - Georges Bank / Cape Hatteras",2.07142857142857,1.76923076923077,1.92032967032967
"Lophius _ americanus","Goosefish - Gulf of Maine / Northern Georges Bank",2.07142857142857,2.15384615384615,2.11263736263736
"Lophius _ americanus","Goosefish - Southern Georges Bank / Mid-Atlantic",2.07142857142857,2.15384615384615,2.11263736263736
"Lopholatilus _ chamaeleonticeps","Tilefish - Gulf of Mexico",1.71428571428571,2,1.85714285714286
"Lopholatilus _ chamaeleonticeps","Tilefish - Mid-Atlantic Coast",1.71428571428571,2.23076923076923,1.97252747252747
"Lopholatilus _ chamaeleonticeps","Tilefish - Southern Atlantic Coast",1.71428571428571,2.23076923076923,1.97252747252747
"Lutjanus _ analis","Mutton snapper - Southern Atlantic Coast / Gulf of Mexico",2.21428571428571,2,2.10714285714286
"Lutjanus _ campechanus","Red snapper - Gulf of Mexico",2.28571428571429,1.84615384615385,2.06593406593407
"Lutjanus _ campechanus","Red snapper - Southern Atlantic Coast",2.28571428571429,1.84615384615385,2.06593406593407
"Lutjanus _ fulvus","Blacktail snapper - Guam",2,1.92307692307692,1.96153846153846
"Lutjanus _ gibbus","Humpback red snapper - Guam",2,1.92307692307692,1.96153846153846
"Lutjanus _ griseus","Gray snapper - Gulf of Mexico",2.07142857142857,2.07692307692308,2.07417582417582
"Lutjanus _ kasmira","American Samoa Bottomfish Multi-species Complex",2.28571428571429,1.69230769230769,1.98901098901099
"Lutjanus _ kasmira","Guam Bottomfish Multi-species Complex",2.28571428571429,1.69230769230769,1.98901098901099
"Lutjanus _ kasmira","Northern Mariana Islands Bottomfish Multi-species Complex",2.28571428571429,1.69230769230769,1.98901098901099
"Lutjanus _ synagris","Lane snapper - Gulf of Mexico",2.5,1.92307692307692,2.21153846153846
"Lutjanus _ vivanus","Silk snapper - Caribbean",1.78571428571429,1.84615384615385,1.81593406593407
"Lyopsetta _ exilis","Bering Sea / Aleutian Islands Other Flatfish Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Makaira _ nigricans","Blue marlin - Atlantic",2,2,2
"Makaira _ nigricans","Blue marlin - Pacific",2,2.07692307692308,2.03846153846154
"Malacocottus _ kincaidi","Bering Sea / Aleutian Islands Sculpin Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Malacocottus _ zonurus","Bering Sea / Aleutian Islands Sculpin Complex",1.78571428571429,1.92307692307692,1.8543956043956
"Malacoraja _ senta","Smooth skate - Gulf of Maine",1.85714285714286,2.53846153846154,2.1978021978022
"Melanogrammus _ aeglefinus","Haddock - Eastern Georges Bank",2.07142857142857,1.69230769230769,1.88186813186813
"Melanogrammus _ aeglefinus","Haddock - Georges Bank",2.07142857142857,1.92307692307692,1.99725274725275
"Melanogrammus _ aeglefinus","Haddock - Gulf of Maine",2.07142857142857,1.76923076923077,1.92032967032967
"Merluccius _ albidus","Offshore hake - Northwestern Atlantic Coast",2.28571428571429,1.53846153846154,1.91208791208791
"Merluccius _ bilinearis","Silver hake - Gulf of Maine / Northern Georges Bank",2.07142857142857,2.23076923076923,2.1510989010989
"Merluccius _ bilinearis","Silver hake - Southern Georges Bank / Mid-Atlantic",2.07142857142857,2.07692307692308,2.07417582417582
"Merluccius _ productus","Pacific hake - Pacific Coast",1.85714285714286,1.92307692307692,1.89010989010989
"Microstomus _ pacificus","Bering Sea / Aleutian Islands Other Flatfish Complex",1.42857142857143,1.92307692307692,1.67582417582418
"Microstomus _ pacificus","Dover sole - Gulf of Alaska",1.42857142857143,1.92307692307692,1.67582417582418
"Microstomus _ pacificus","Dover sole - Pacific Coast",1.42857142857143,2.15384615384615,1.79120879120879
"Monotaxis _ grandoculis","Bigeye bream - Guam",2.14285714285714,1.76923076923077,1.95604395604396
"Mulloidichthys _ flavolineatus","Yellowstripe goatfish - Main Hawaiian Islands",2.57142857142857,1.61538461538462,2.09340659340659
"Mulloidichthys _ vanicolensis","Yellowfin goatfish - Main Hawaiian Islands",2.57142857142857,1.61538461538462,2.09340659340659
"Mustelus _ canis","Gulf Smoothhound Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Mustelus _ canis","Smooth dogfish - Atlantic",1.85714285714286,2.30769230769231,2.08241758241758
"Mustelus _ norrisi","Gulf Smoothhound Complex",1.92857142857143,1.92307692307692,1.92582417582418
"Mustelus _ sinusmexicanus","Gulf Smoothhound Complex",1.92857142857143,1.92307692307692,1.92582417582418
"Mycteroperca _ bonaci","Black grouper - Southern Atlantic Coast / Gulf of Mexico",1.92857142857143,1.92307692307692,1.92582417582418
"Mycteroperca _ microlepis","Gag - Gulf of Mexico",1.85714285714286,2.15384615384615,2.00549450549451
"Mycteroperca _ microlepis","Gag - Southern Atlantic Coast",1.85714285714286,2.07692307692308,1.96703296703297
"Mycteroperca _ phenax","Scamp - Gulf of Mexico",1.92857142857143,2.07692307692308,2.00274725274725
"Myoxocephalus _ jaok","Bering Sea / Aleutian Islands Sculpin Complex",2.07142857142857,1.84615384615385,1.95879120879121
"Myoxocephalus _ polyacanthocephalus","Bering Sea / Aleutian Islands Sculpin Complex",2,1.92307692307692,1.96153846153846
"Myoxocephalus _ polyacanthocephalus","Gulf of Alaska Sculpin Complex",2,1.92307692307692,1.96153846153846
"Myoxocephalus _ scorpius","Bering Sea / Aleutian Islands Sculpin Complex",2.28571428571429,1.76923076923077,2.02747252747253
"Naso _ brevirostris","Shortnosed unicornfish - Main Hawaiian Islands",1.92857142857143,1.69230769230769,1.81043956043956
"Naso _ hexacanthus","Sleek unicornfish - Main Hawaiian Islands",1.78571428571429,1.69230769230769,1.73901098901099
"Naso _ unicornis","Bluespine unicornfish - Guam",1.92857142857143,1.69230769230769,1.81043956043956
"Nautichthys _ oculofasciatus","Bering Sea / Aleutian Islands Sculpin Complex",2.35714285714286,1.76923076923077,2.06318681318681
"Nautichthys _ pribilovius","Bering Sea / Aleutian Islands Sculpin Complex",2.35714285714286,1.76923076923077,2.06318681318681
"Ocyurus _ chrysurus","Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico",2.21428571428571,2.30769230769231,2.26098901098901
"Oncorhynchus _ gorbuscha","Pink salmon - Puget Sound",2.35714285714286,1.84615384615385,2.10164835164835
"Oncorhynchus _ kisutch","Coho salmon - Auke Creek",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Berners River",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Ford Arm Lake",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Hugh Smith Lake",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Oregon Production Index Area: Central California Coast",2.42857142857143,1.76923076923077,2.0989010989011
"Oncorhynchus _ kisutch","Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Oregon Production Index Area: Lower Columbia Natural",2.42857142857143,1.76923076923077,2.0989010989011
"Oncorhynchus _ kisutch","Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery",2.42857142857143,1.69230769230769,2.06043956043956
"Oncorhynchus _ kisutch","Coho salmon - Oregon Production Index Area: Oregon Coast Natural",2.42857142857143,1.76923076923077,2.0989010989011
