Common_name
Atlantic herring - Northwestern Atlantic Coast
Atlantic salmon - Gulf of Maine
Sea scallop - Northwestern Atlantic Coast
Atlantic surfclam - Mid-Atlantic Coast
Ocean quahog - Atlantic Coast
Bluefish - Atlantic Coast
Red deepsea crab - Northwestern Atlantic
Atlantic chub mackerel - Mid-Atlantic Coast
Atlantic mackerel - Gulf of Maine / Cape Hatteras
Butterfish - Gulf of Maine / Cape Hatteras
Longfin inshore squid - Georges Bank / Cape Hatteras
Northern shortfin squid - Northwestern Atlantic Coast
Goosefish - Gulf of Maine / Northern Georges Bank
Goosefish - Southern Georges Bank / Mid-Atlantic
Acadian redfish - Gulf of Maine / Georges Bank
American plaice - Gulf of Maine / Georges Bank
Atlantic cod - Georges Bank
Atlantic cod - Gulf of Maine
Atlantic halibut - Northwestern Atlantic Coast
Atlantic wolffish - Gulf of Maine / Georges Bank
Haddock - Georges Bank
Haddock - Gulf of Maine
Ocean pout - Northwestern Atlantic Coast
Offshore hake - Northwestern Atlantic Coast
Pollock - Gulf of Maine / Georges Bank
Red hake - Gulf of Maine / Northern Georges Bank
Red hake - Southern Georges Bank / Mid-Atlantic
Silver hake - Gulf of Maine / Northern Georges Bank
Silver hake - Southern Georges Bank / Mid-Atlantic
White hake - Gulf of Maine / Georges Bank
Windowpane - Gulf of Maine / Georges Bank
Windowpane - Southern New England / Mid-Atlantic
Winter flounder - Georges Bank
Winter flounder - Gulf of Maine
Winter flounder - Southern New England / Mid-Atlantic
Witch flounder - Northwestern Atlantic Coast
Yellowtail flounder - Cape Cod / Gulf of Maine
Yellowtail flounder - Georges Bank
Yellowtail flounder - Southern New England / Mid-Atlantic
Barndoor skate - Georges Bank / Southern New England
Clearnose skate - Southern New England / Mid-Atlantic
Little skate - Georges Bank / Southern New England
Rosette skate - Southern New England / Mid-Atlantic
Smooth skate - Gulf of Maine
Thorny skate - Gulf of Maine
Winter skate - Georges Bank / Southern New England
Spiny dogfish - Atlantic Coast
Black sea bass - Mid-Atlantic Coast
Scup - Atlantic Coast
Summer flounder - Mid-Atlantic Coast
Tilefish Fishery Management Plan
Blueline tilefish - Mid-Atlantic Coast
Tilefish - Mid-Atlantic Coast
King mackerel - Southern Atlantic Coast
Spanish mackerel - Southern Atlantic Coast
Black corals (Antipatharia) - Southern Atlantic Coast
Fire corals (Milleporidae) - Southern Atlantic Coast
Hydrocorals (Stylasteridae) - Southern Atlantic Coast
Soft corals (Octocorallia) - Southern Atlantic Coast
Stony corals (Scleractinia) - Southern Atlantic Coast
Dolphinfish - Southern Atlantic Coast
Wahoo - Southern Atlantic Coast
Golden deepsea crab - Southern Atlantic Coast
Pelagic Sargassum Habitat of the South Atlantic Region Fishery Management Plan
Sargassum - Southern Atlantic Coast
Brown rock shrimp - Southern Atlantic Coast
Brown shrimp - Southern Atlantic Coast
Pink shrimp - Southern Atlantic Coast
White shrimp - Southern Atlantic Coast
Atlantic spadefish - Southern Atlantic Coast
Bar jack - Southern Atlantic Coast
Black sea bass - Southern Atlantic Coast
Blueline tilefish - Southern Atlantic Coast
Gag - Southern Atlantic Coast
Gray triggerfish - Southern Atlantic Coast
Greater amberjack - Southern Atlantic Coast
Hogfish - Carolinas
Hogfish - Southeast Florida
Red grouper - Southern Atlantic Coast
Red porgy - Southern Atlantic Coast
Red snapper - Southern Atlantic Coast
Scamp - Southern Atlantic Coast
Snowy grouper - Southern Atlantic Coast
South Atlantic Deepwater Snapper-Grouper Complex
South Atlantic Grunts Complex
South Atlantic Jacks Complex
South Atlantic Porgy Complex
South Atlantic Shallow Water Snapper-Grouper Complex
South Atlantic Snappers Complex
Speckled hind - Southern Atlantic Coast
Tilefish - Southern Atlantic Coast
Vermilion snapper - Southern Atlantic Coast
Warsaw grouper - Southern Atlantic Coast
Wreckfish - Southern Atlantic Coast
Black grouper - Southern Atlantic Coast / Gulf of Mexico
Goliath grouper - Southern Atlantic Coast / Gulf of Mexico
Mutton snapper - Southern Atlantic Coast / Gulf of Mexico
Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico
King mackerel - Gulf of Mexico
Spanish mackerel - Gulf of Mexico
Cobia - Gulf of Mexico
Black corals (Antipatharia) - Gulf of Mexico
Fire corals (Milleporidae) - Gulf of Mexico
Hydrocorals (Stylasteridae) - Gulf of Mexico
Sea fans (Gorgonia spp.) - Gulf of Mexico
Stony corals (Scleractinia) - Gulf of Mexico
Red drum - Gulf of Mexico
Almaco jack - Gulf of Mexico [member of Gulf of Mexico Jacks Complex]
Banded rudderfish - Gulf of Mexico [member of Gulf of Mexico Jacks Complex]
Blackfin snapper - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex]
Blueline tilefish - Gulf of Mexico [member of Gulf of Mexico Tilefishes Complex]
Cubera snapper - Gulf of Mexico
Gag - Gulf of Mexico
Gray snapper - Gulf of Mexico
Gray triggerfish - Gulf of Mexico
Greater amberjack - Gulf of Mexico
Hogfish - Eastern Gulf of Mexico
Lane snapper - Gulf of Mexico
Lesser amberjack - Gulf of Mexico [member of Gulf of Mexico Jacks Complex]
Nassau grouper - Southern Atlantic Coast / Gulf of Mexico
Queen snapper - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex]
Red grouper - Gulf of Mexico
Red snapper - Gulf of Mexico
Scamp - Gulf of Mexico [member of Gulf of Mexico Shallow Water Grouper Complex]
Silk snapper - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex]
Snowy grouper - Gulf of Mexico [member of Gulf of Mexico Deep Water Grouper Complex]
Speckled hind - Gulf of Mexico [member of Gulf of Mexico Deep Water Grouper Complex]
Tilefish - Gulf of Mexico
Vermilion snapper - Gulf of Mexico
Warsaw grouper - Gulf of Mexico [member of Gulf of Mexico Deep Water Grouper Complex]
Wenchman - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex]
Yellowedge grouper - Gulf of Mexico
Yellowfin grouper - Gulf of Mexico [member of Gulf of Mexico Shallow Water Grouper Complex]
Yellowmouth grouper - Gulf of Mexico [member of Gulf of Mexico Shallow Water Grouper Complex]
Caribbean spiny lobster - Southern Atlantic Coast / Gulf of Mexico
Brown shrimp - Gulf of Mexico
Pink shrimp - Gulf of Mexico
Royal red shrimp - Gulf of Mexico
White shrimp - Gulf of Mexico
Barracuda - Puerto Rico
Caribbean spiny lobster - Puerto Rico
Puerto Rico Angelfishes Complex
Puerto Rico Dorado
Puerto Rico Grouper Unit 1
Puerto Rico Grouper Unit 2
Puerto Rico Grouper Unit 3
Puerto Rico Grouper Unit 4
Puerto Rico Grouper Unit 5
Puerto Rico Grouper Unit 6
Puerto Rico Grunts Complex
Puerto Rico Jacks 1
Puerto Rico Jacks 2
Puerto Rico Jacks 3
Puerto Rico Mackerels
Puerto Rico Parrotfishes 1
Puerto Rico Parrotfishes 2
Puerto Rico Rays 1
Puerto Rico Rays 2
Puerto Rico Rays 3
Puerto Rico Snapper Unit 1
Puerto Rico Snapper Unit 2
Puerto Rico Snapper Unit 3
Puerto Rico Snapper Unit 4
Puerto Rico Snapper Unit 5
Puerto Rico Snapper Unit 6
Puerto Rico Surgeonfishes Complex
Puerto Rico Triggerfishes Complex
Puerto Rico Tunas
Puerto Rico Wrasses 1
Puerto Rico Wrasses 2
Queen conch - Puerto Rico
Tripletail - Puerto Rico
Wahoo - Puerto Rico
Caribbean spiny lobster - St. Croix
Dolphin - St. Croix
Queen conch - St. Croix
St. Croix Angelfishes Complex
St. Croix Grouper Unit 1
St. Croix Grouper Unit 2
St. Croix Grouper Unit 3
St. Croix Grouper Unit 4
St. Croix Grouper Unit 5
St. Croix Grouper Unit 6
St. Croix Grunts Complex
St. Croix Parrotfishes 1
St. Croix Parrofishes 2
St. Croix Snapper Unit 1
St. Croix Snapper Unit 2
St. Croix Snapper Unit 3
St. Croix Snapper Unit 4
St. Croix Snapper Unit 5
St. Croix Snapper Unit 6
St. Croix Squirrelfishes Complex
St. Croix Surgeonfishes Complex
St. Croix Triggerfishes Complex
Wahoo - St. Croix
Caribbean spiny lobster - St. Thomas / St. John
Dolphinfish - St. Thomas / St. John
Hogfish - St. Thomas / St. John
Queen conch - St. Thomas / St. John
St. Thomas / St. John Angelfishes Complex
St. Thomas / St. John Grouper Unit 1
St. Thomas / St. John Grouper Unit 2
St. Thomas / St. John Grouper Unit 3
St. Thomas / St. John Grouper Unit 4
St. Thomas / St. John Grouper Unit 5
St. Thomas / St. John Grunts 1
St. Thomas / St. John Grunts 2
St. Thomas / St. John Jacks Complex
St. Thomas / St. John Parrotfishes 1
St. Thomas / St. John Parrotfishes 2
St. Thomas / St. John Porgies Complex
St. Thomas / St. John Snapper Unit 1
St. Thomas / St. John Snapper Unit 2
St. Thomas / St. John Snapper Unit 3
St. Thomas / St. John Snapper Unit 4
St. Thomas / St. John Surgeonfishes Complex
St. Thomas / St. John Triggerfishes Complex
Wahoo - St. Thomas / St. John
Albacore - North Atlantic
Atlantic angelshark - Atlantic [member of Prohibited Species complex]
Atlantic sharpnose shark - Atlantic
Atlantic sharpnose shark - Gulf of Mexico
Basking shark - Atlantic [member of Prohibited Species complex]
Bigeye sand tiger - Atlantic [member of Prohibited Species complex]
Bigeye sixgill shark - Atlantic [member of Prohibited Species complex]
Bigeye thresher - Atlantic [member of Prohibited Species complex]
Bigeye tuna - Atlantic
Bignose shark - Atlantic [member of Prohibited Species complex]
Blacknose shark - Atlantic
Blacknose shark - Gulf of Mexico
Blacktip shark - Atlantic
Blacktip shark - Gulf of Mexico
Blue marlin - Atlantic
Blue shark - North Atlantic
Bluefin tuna - Western Atlantic
Bluntnose sixgill shark - Atlantic [member of Prohibited Species complex]
Bonnethead - Atlantic
Bonnethead - Gulf of Mexico
Bull shark - Atlantic and Gulf of Mexico
Caribbean sharpnose shark - Atlantic [member of Prohibited Species complex]
Dusky shark - Atlantic and Gulf of Mexico
Finetooth shark - Atlantic and Gulf of Mexico
Galapagos shark - Atlantic [member of Prohibited Species complex]
Great hammerhead - Atlantic and Gulf of Mexico
Gulf Smoothhound Complex
Lemon shark - Atlantic and Gulf of Mexico
Longbill spearfish - Western Atlantic
Longfin mako - Atlantic [member of Prohibited Species complex]
Narrowtooth shark - Atlantic [member of Prohibited Species complex]
Night shark - Atlantic [member of Prohibited Species complex]
Nurse shark - Atlantic and Gulf of Mexico
Oceanic whitetip shark - Atlantic and Gulf of Mexico
Porbeagle - Northwestern Atlantic
Reef shark - Atlantic [member of Prohibited Species complex]
Roundscale spearfish - Atlantic
Sailfish - Western Atlantic
Sand tiger - Atlantic [member of Prohibited Species complex]
Sandbar shark - Atlantic and Gulf of Mexico
Scalloped hammerhead - Atlantic and Gulf of Mexico
Shortfin mako - North Atlantic
Silky shark - Atlantic and Gulf of Mexico
Skipjack tuna - Western Atlantic
Smalltail shark - Atlantic [member of Prohibited Species complex]
Smooth dogfish - Atlantic
Smooth hammerhead - Atlantic and Gulf of Mexico
Spinner shark - Atlantic and Gulf of Mexico
Swordfish - North Atlantic
Thresher shark - Atlantic and Gulf of Mexico
Tiger shark - Atlantic and Gulf of Mexico
Whale shark - Atlantic [member of Prohibited Species complex]
White marlin - Atlantic
White shark - Atlantic [member of Prohibited Species complex]
Yellowfin tuna - Atlantic
Alaska plaice – Bering Sea / Aleutian Islands
Alaska skate – Bering Sea / Aleutian Islands [member of Bering Sea / Aleutian Islands Skate Complex]
Arrowtooth flounder – Bering Sea / Aleutian Islands
Atka mackerel – Bering Sea / Aleutian Islands
Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex
Bering Sea / Aleutian Islands Flathead Sole Complex [indicator = flathead sole]
Bering Sea / Aleutian Islands Octopus Complex [indicator = giant Pacific octopus]
Bering Sea / Aleutian Islands Other Flatfish Complex [indicator = starry flounder]
Bering Sea / Aleutian Islands Other Rockfish Complex
Bering Sea / Aleutian Islands Other Skates Complex [remainder of Bering Sea / Aleutian Islands Skate Complex]
Bering Sea / Aleutian Islands Rock Sole Complex [indicator = northern rock sole]
Bering Sea / Aleutian Islands Shark Complex [indicator = Pacific sleeper shark]
Greenland halibut – Bering Sea / Aleutian Islands
Kamchatka flounder – Bering Sea / Aleutian Islands
Northern rockfish – Bering Sea / Aleutian Islands
Pacific cod – Aleutian Islands
Pacific cod – Bering Sea
Pacific ocean perch – Bering Sea / Aleutian Islands
Shortraker rockfish – Bering Sea / Aleutian Islands
Walleye pollock – Aleutian Islands
Walleye pollock – Bogoslof
Walleye pollock – Eastern Bering Sea
Yellowfin sole – Bering Sea / Aleutian Islands
Arrowtooth flounder – Gulf of Alaska
Atka mackerel – Gulf of Alaska
Big skate – Gulf of Alaska [member of Gulf of Alaska Skates]
Dover sole – Gulf of Alaska [indicator for Gulf of Alaska Deepwater Flatfish Complex]
Dusky rockfish – Gulf of Alaska
Flathead sole – Gulf of Alaska
Gulf of Alaska Blackspotted and Rougheye Rockfish Complex
Gulf of Alaska Demersal Shelf Rockfish Complex [indicator = yelloweye rockfish]
Gulf of Alaska Octopus Complex [indicator = giant Pacific octopus]
Gulf of Alaska Other Deepwater Flatfish Complex [indicator = Dover sole]
Gulf of Alaska Other Rockfish Complex [indicator = silvergray rockfish]
Gulf of Alaska Other Shallow Water Flatfish Complex [remainder of Gulf of Alaska Shallow Water Flatfish Complex]
Gulf of Alaska Other Skates Complex [remainder of Gulf of Alaska Skates]
Gulf of Alaska Shark Complex [indicator = spiny dogfish]
Gulf of Alaska Thornyhead Rockfish Complex [indicator = shortspine thornyhead]
Longnose skate – Gulf of Alaska [member of Gulf of Alaska Skates]
Northern rock sole – Gulf of Alaska [indicator for Gulf of Alaska Shallow Water Flatfish Complex]
Northern rockfish – Western / Central Gulf of Alaska
Pacific cod – Gulf of Alaska
Pacific ocean perch – Gulf of Alaska
Rex sole – Gulf of Alaska
Rock sole – Gulf of Alaska [indicator for Gulf of Alaska Shallow Water Flatfish Complex]
Sharpchin rockfish – Gulf of Alaska [member of Gulf of Alaska Other Rockfish Complex]
Shortraker rockfish – Gulf of Alaska
Walleye pollock – Southeast Gulf of Alaska
