"Scientific name","Stock name","Jurisdiction","FMP","Science Center","Area","Productivity score","Susceptibility score","Vulnerability score"
"Raja binoculata","Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Sebastes diaconus","California Blue and Deacon Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Raja binoculata","Gulf of Alaska Skate Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Sebastes diaconus","Oregon Blue and Deacon Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Raja rhina","Longnose skate - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Sebastes caurinus","Copper rockfish - Northern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes caurinus","Copper rockfish - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes caurinus","Copper rockfish - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes caurinus","Copper rockfish - Washington","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes maliger","Quillback rockfish - California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes maliger","Quillback rockfish - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes maliger","Quillback rockfish - Washington","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes miniatus","Vermilion rockfish - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes miniatus","Vermilion rockfish - Washington","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanostomus","Blackgill rockfish - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes nebulosus","China rockfish - Central Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes nebulosus","China rockfish - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes nebulosus","China rockfish - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes flavidus","Yellowtail rockfish - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes aurora","Aurora rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes saxicola","Stripetail rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes chlorostictus","Greenspotted rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes elongatus","Greenstriped rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes mystinus","California Blue and Deacon Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes carnatus","Northern California Gopher / Black-and-Yellow Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes mystinus","Oregon Blue and Deacon Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanostictus","Pacific Coast Blackspotted and Rougheye Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes miniatus","Vermilion rockfish and Sunset rockfish Complex - Northern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes miniatus","Vermilion rockfish and Sunset rockfish Complex - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanostictus","Aleutian Islands Blackspotted and Rougheye rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Bathyraja interrupta","Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2,2.5,1.8
"Raja rhina","Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Bathyraja interrupta","Gulf of Alaska Skate Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2.5,1.8
"Raja rhina","Gulf of Alaska Skate Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Sebastes chrysomelas","Northern California Gopher / Black-and-Yellow Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes crocotulus","Vermilion rockfish and Sunset rockfish Complex - Northern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes crocotulus","Vermilion rockfish and Sunset rockfish Complex - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Dipturus laevis","Barndoor skate - Georges Bank / Southern New England","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.33,1.67,1.8
"Sebastes ruberrimus","Yelloweye rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.33,1.67,1.8
"Anarhichas lupus","Atlantic wolffish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",1.33,1.67,1.8
"Polyprion americanus","Wreckfish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",1.33,1.67,1.8
"Variola louti","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.33,2.67,1.8
"Variola louti","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.33,2.67,1.8
"Variola louti","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.33,2.67,1.8
"Sebastolobus alascanus","Bering Sea / Aleutian Islands Other Rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.71,2.25,1.79
"Zoarces americanus","Ocean pout - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",1.83,2.33,1.77
"Caranx lugubris","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.5,2.67,1.74
"Caranx lugubris","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.5,2.67,1.74
"Caranx lugubris","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.5,2.67,1.74
"Pristipomoides filamentosus","Crimson jobfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.17,2.5,1.72
"Lamna ditropis","Gulf of Alaska Shark Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.43,1.67,1.71
"Pristipomoides sieboldii","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.67,2.67,1.7
"Pristipomoides zonatus","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.67,2.67,1.7
"Pristipomoides sieboldii","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.67,2.67,1.7
"Pristipomoides sieboldii","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.67,2.67,1.7
"Urophycis chuss","Red hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2,2.33,1.67
"Urophycis chuss","Red hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2,2.33,1.67
"Glyptocephalus cynoglossus","Witch flounder - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2,2.33,1.67
"Lophius americanus","Goosefish - Gulf of Maine / Northern Georges Bank","NEFMC / MAFMC","Monkfish","NEFSC","Northeast Shelf",2,2.33,1.67
"Lophius americanus","Goosefish - Southern Georges Bank / Mid-Atlantic","NEFMC / MAFMC","Monkfish","NEFSC","Northeast Shelf",2,2.33,1.67
"Naso unicornis","Bluespine unicornfish - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2,2.33,1.67
"Sebastes hopkinsi","Squarespot rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.67,2,1.67
"Myoxocephalus jaok","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2,2.33,1.67
"Myoxocephalus jaok","Gulf of Alaska Sculpin Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2.33,1.67
"Etelis coruscans","Flame snapper - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",1.67,2,1.67
"Chlorurus microrhinos","Steephead parrotfish - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2,2.33,1.67
"Pristipomoides flavipinnis","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.67,1.67
"Pristipomoides flavipinnis","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.67,1.67
"Pristipomoides auricilla","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.67,1.67
"Pristipomoides flavipinnis","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.67,1.67
"Pristipomoides auricilla","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.67,1.67
"Leucoraja ocellata","Winter skate - Georges Bank / Southern New England","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.5,1.67,1.64
"Sebastes melanops","Black rockfish - California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.67,1.64
"Raja eglanteria","Clearnose skate - Southern New England / Mid-Atlantic","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.5,1.67,1.64
"Leucoraja garmani","Rosette skate - Southern New England / Mid-Atlantic","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.5,1.67,1.64
"Sebastes variabilis","Dusky rockfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,1.67,1.64
"Sebastes levis","Cowcod - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.67,1.64
"Sebastes paucispinis","Bocaccio - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.67,1.64
"Sebastes flavidus","Yellowtail rockfish - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.67,1.64
"Sebastes diploproa","Splitnose rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.67,1.64
"Sebastes melanostictus","Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.5,1.67,1.64
"Sebastes melanostictus","Gulf of Alaska Blackspotted and Rougheye Rockfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,1.67,1.64
"Bathyraja parmifera","Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.71,2,1.63
"Bathyraja parmifera","Gulf of Alaska Skate Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.71,2,1.63
"Bathyraja lindbergi","Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.71,2,1.63
"Sebastes alutus","Pacific ocean perch - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.43,1.25,1.59
"Sebastes alutus","Pacific ocean perch - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.43,1.25,1.59
"Chlorurus perspicillatus","Spectacled parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.14,2.33,1.59
"Sebastes alutus","Pacific ocean perch - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.43,1.2,1.58
"Sebastes entomelas","Widow rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.5,1.58
"Sebastes pinniger","Canary rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.5,1.58
"Sebastes crameri","Darkblotched rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.5,1.58
"Somniosus pacificus","Pacific sleeper shark - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.57,1.67,1.58
"Sebastes aleutianus","Rougheye rockfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.57,1.67,1.58
"Sebastes aleutianus","Aleutian Islands Blackspotted and Rougheye rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.57,1.67,1.58
"Somniosus pacificus","Gulf of Alaska Shark Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.57,1.67,1.58
"Sebastes aleutianus","Pacific Coast Blackspotted and Rougheye Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.57,1.67,1.58
"Gadus morhua","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.17,2.33,1.57
"Lamna ditropis","Bering Sea / Aleutian Islands Shark Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.43,1,1.57
"Sebastes polyspinis","Northern rockfish - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.5,1.33,1.54
"Microstomus pacificus","Dover sole - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.83,2,1.54
"Sebastes polyspinis","Northern rockfish - Western / Central Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,1.33,1.54
"Sebastes goodei","Chilipepper - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1.33,1.54
"Hyporthodus niveatus","Snowy grouper - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",1.86,2,1.52
"Aphareus rutilans","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.14,2.25,1.52
"Aphareus rutilans","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.14,2.25,1.52
"Aphareus rutilans","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.14,2.25,1.52
"Hyporthodus quernus","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.14,2.25,1.52
"Sebastes aleutianus","Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.57,1.5,1.51
"Sebastes aleutianus","Gulf of Alaska Blackspotted and Rougheye Rockfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.57,1.5,1.51
"Hipposcarus longiceps","Pacific longnose parrotfish - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.33,1.51
"Chlorurus sordidus","Bullethead parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.33,1.51
"Sparisoma aurofrenatum","Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea",2.86,2.5,1.51
"Raja rhina","Longnose skate - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,1,1.5
"Limanda ferruginea","Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.33,2.33,1.49
"Leucoraja erinacea","Little skate - Georges Bank / Southern New England","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.67,1.67,1.49
"Reinhardtius hippoglossoides","Greenland halibut - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.67,1.67,1.49
"Sebastes jordani","Shortbelly rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.67,1.67,1.49
"Scarus rubroviolaceus","Redlip parrotfish - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.43,2.33,1.45
"Scarus rubroviolaceus","Redlip parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.43,2.33,1.45
"Platichthys stellatus","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.43,2.33,1.45
"Caranx ignobilis","Giant trevally - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.43,2.33,1.45
"Squalus acanthias","Spiny dogfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.57,1.25,1.45
"Hippoglossus stenolepis","Pacific halibut - Pacific Coast / Alaska","IPHC","Species Managed Under International Agreement - IPHC","NWFSC / AFSC","California Current / Alaska Ecosystem Complex",1.71,1.67,1.45
"Squalus acanthias","Spiny dogfish - Atlantic Coast","NEFMC / MAFMC","Spiny Dogfish","NEFSC","Northeast Shelf",1.57,1.2,1.44
"Lutjanus kasmira","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Lutjanus kasmira","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Lutjanus kasmira","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Pristipomoides filamentosus","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Pristipomoides filamentosus","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Pristipomoides filamentosus","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Pristipomoides filamentosus","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.29,2.25,1.44
"Somniosus pacificus","Bering Sea / Aleutian Islands Shark Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.57,1,1.43
"Sebastolobus altivelis","Longspine thornyhead - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.67,1.5,1.42
"Lopholatilus chamaeleonticeps","Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Northeast Shelf",1.71,1.6,1.42
"Merluccius bilinearis","Silver hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2,2,1.41
"Glyptocephalus zachirus","Rex sole - Eastern Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2,1.41
"Glyptocephalus zachirus","Rex sole - Western / Central Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2,1.41
"Glyptocephalus zachirus","Rex sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2,2,1.41
"Clupea harengus","Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf",2,2,1.41
"Naso hexacanthus","Sleek unicornfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2,2,1.41
"Mycteroperca microlepis","Gag - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2,2,1.41
"Lepidopsetta bilineata","Rock sole - Central Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2,1.41
"Lepidopsetta bilineata","Rock sole - Western Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2,1.41
"Mycteroperca phenax","Scamp - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2,2,1.41
"Mycteroperca microlepis","Gag - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2,2,1.41
"Lepidopsetta bilineata","Rock sole - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2,1.41
"Caulolatilus microps","Blueline tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","SEFSC","Northeast Shelf / Southeast Shelf",2,2,1.41
"Caulolatilus microps","Blueline tilefish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2,2,1.41
"Lepidopsetta bilineata","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,2,1.41
"Caranx melampygus","Bluefin trevally - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.57,2.33,1.4
"Lopholatilus chamaeleonticeps","Tilefish - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",1.71,1.5,1.38
"Caranx ignobilis","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.43,2.25,1.37
"Caranx ignobilis","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.43,2.25,1.37
"Mycteroperca bonaci","Black grouper - Southern Atlantic Coast / Gulf of Mexico","SAFMC / GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","SEFSC","Southeast Shelf / Gulf of Mexico",1.86,1.75,1.37
"Scomberomorus cavalla","King mackerel - Gulf of Mexico","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Gulf of Mexico",1.71,1.4,1.35
"Scomberomorus cavalla","King mackerel - Southern Atlantic Coast","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Southeast Shelf",1.71,1.4,1.35
"Sebastolobus alascanus","Shortspine thornyhead - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.71,1.4,1.35
"Lopholatilus chamaeleonticeps","Tilefish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",1.71,1.4,1.35
"Pseudopleuronectes americanus","Winter flounder - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.5,2.25,1.35
"Urophycis tenuis","White hake - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",1.83,1.67,1.34
"Scarus psittacus","Palenose parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.33,1.33
"Mulloidichthys vanicolensis","Yellowfin goatfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.33,1.33
"Mulloidichthys flavolineatus","Yellowstripe goatfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,2.33,1.33
"Bathyraja parmifera","Alaska skate - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.71,1.33,1.33
