"type","n_stocks","n_species","n_surveys","avg_p_score_mean","avg_p_score_se","avg_s_score_mean","avg_s_score_se","distance_mean","distance_se"
"acoustic-trawl",7,6,5,2.28571428571429,0.148690428479919,1.63095238114286,0.114805366212173,1.03398885571429,0.0921111002728568
"bottom trawl",146,153,41,2.01751279020041,0.0220981706064233,2.17265840222727,0.0282730539748094,1.64028808925826,0.0237228817652977
"hook and line",31,35,13,1.78073089702326,0.0519116613009762,1.8996124032093,0.0628265760289756,1.57826652930233,0.044710271494085
"inshore net",7,7,7,2.28911564628571,0.107291226446357,1.76666666671429,0.0645497224244951,1.06884882442857,0.0863760927523305
"midwater trawl",17,17,9,1.82326007330769,0.0786814977390886,1.66217948730769,0.039261970168416,1.37734652053846,0.0691150056984032
"predator food habits",1,1,2,1.666666667,0,1.666666667,0,1.490711985,0
"visual",48,42,19,2.20456069757746,0.0480235228466209,2.03732394361972,0.0545528997126814,1.37657359843662,0.0512095428120857
