Stock.Name,Jurisdiction,FMP,Science.Center,Regional.Ecosystem,Common.Name,Stock.Area,Assessment.Level,Model.Category,F.Flimit,F.Fmsy,B.Blimit,B.Bmsy,Genus,Species,overfishing,overfished,scientific_name,Mean.Gap,Exposure,Sensitivity,Loo,tmax,tm,M,h,r,Fmsy_over_M,Assessment.Level_scored,Model.Category_scored,status,scored_gap,avg_p_score,avg_s_score,distance,family,phylopic_uuid
Chinook salmon - Puget Sound: Green River Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Green River Summer/Fall,NA,4,NA,NA,NA,1.371000051,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Mid Hood Canal Summer/Fall,NA,4,NA,1,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,1.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Nisqually River Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Nisqually River Summer/Fall,NA,4,NA,0.994000018,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Nooksack Spring Early,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Nooksack Spring Early,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Puyallup Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Puyallup Summer/Fall,NA,4,NA,NA,NA,2.292000055,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Skagit Spring,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Skagit Spring,NA,4,NA,0.677999973,NA,1.087000012,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Skagit Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Skagit Summer/Fall,NA,4,NA,0.976000011,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Skokomish Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Skokomish Summer/Fall,NA,2,0.995999992,0.995999992,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.75,1,2,2,3,2,3,2,3,3,NA,3,NA,1,2.428571429,2,1.151751107,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Snohomish Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Snohomish Summer/Fall,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: Stillaguamish Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: Stillaguamish Summer/Fall,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Puget Sound: White River Spring,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Puget Sound: White River Spring,NA,4,NA,0.77700001,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,1,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Grays Harbor Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Grays Harbor Fall,NA,4,0.88499999,0.88499999,2.772000074,1.184000015,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.25,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Grays Harbor Spring,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Grays Harbor Spring,NA,4,NA,NA,3.921000004,1.529000044,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Hoh Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Hoh Fall,NA,4,0.822000027,0.822000027,3.720000029,1.860000014,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Hoh Spring/Summer,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Hoh Spring/Summer,NA,4,NA,NA,2.278000116,1.139000058,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0.75,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Hoko Summer/Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Hoko Summer/Fall,NA,4,0.282000005,0.282000005,3.023999929,1.511999965,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Queets Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Queets Fall,NA,4,0.907999992,0.907999992,2.23300004,1.116000056,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Queets Spring/Summer,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Queets Spring/Summer,NA,4,NA,NA,0.989000022,0.493999988,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Quillayute Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Quillayute Fall,NA,4,0.792999983,0.792999983,3.969000101,1.983999968,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Quillayute Spring/Summer,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Quillayute Spring/Summer,NA,4,NA,NA,2.328000069,1.164000034,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Quinault Fall Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Quinault Fall Hatchery,NA,4,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Willapa Bay Fall Hatchery,NA,4,NA,NA,NA,1.457000017,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Chinook salmon - Washington Coast: Willapa Bay Fall Natural,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Washington Coast: Willapa Bay Fall Natural,NA,4,0.910000026,0.910000026,1.723999977,0.861999989,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.428571429,1.75,0.942884199,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Albacore - North Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Albacore,North Atlantic,3,5,0.449999988,0.449999988,4.612999916,1.845000029,Thunnus,alalunga,Unknown,Unknown,Thunnus alalunga,1.75,NA,NA,1,2,1,2,2,2,3,2,1,NA,1,1.666666667,1.666666667,1.490711985,Scombridae,576e4c83-ba51-446a-9d6f-3c03ed4986e0
Blue shark - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Blue shark,Atlantic,NA,6,0.699999988,NA,1,1,Prionace,glauca,Unknown,Unknown,Prionace glauca,NA,NA,NA,1,2,1,1,1,1,1,NA,1,NA,NA,1.166666667,1,1.833333333,Carcharhinidae,1df40b67-6182-4938-8940-6d33f0b0db27
Bluefish - Atlantic Coast,MAFMC,Bluefish,NEFSC,Northeast Shelf,Bluefish,Atlantic Coast,NA,6,0.635999978,0.635999978,1.197000027,0.598999977,Pomatomus,saltatrix,No,Yes,Pomatomus saltatrix,0.25,2,3,2,2,2,3,3,3,3,NA,1,3,1,2.571428571,2,1.087967587,Pomatomidae,287624dd-5b4f-4fa6-aeef-f4d54e33ae61
Atlantic mackerel - Gulf of Maine / Cape Hatteras,MAFMC,"Mackerel, Squid and Butterfish",NEFSC,Northeast Shelf,Atlantic mackerel,Gulf of Maine / Cape Hatteras,4,6,0.856999993,0.856999993,0.246999994,0.123000003,Scomber,scombrus,Yes,Yes,Scomber scombrus,0.5,NA,NA,3,2,2,2,2,2,3,1,1,3,1,2.166666667,2,1.301708279,Scombridae,a9e322a9-9cc8-46e1-aef1-bba8838b27e7
Scup - Atlantic Coast,MAFMC,"Summer Flounder, Scup and Black Sea Bass",NEFSC,Northeast Shelf,Scup,Atlantic Coast,NA,6,0.899999976,0.899999976,4.046999931,2.023999929,Stenotomus,chrysops,No,No,Stenotomus chrysops,1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,Sparidae,19759b22-303b-451f-b4d8-eb6873346a26
Summer flounder - Mid-Atlantic Coast,MAFMC,"Summer Flounder, Scup and Black Sea Bass",NEFSC,Northeast Shelf,Summer flounder,Mid-Atlantic Coast,NA,6,1.029000044,1.029000044,1.654000044,0.827000022,Paralichthys,dentatus,No,No,Paralichthys dentatus,0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,Paralichthyidae,017fbcd1-34bb-42b6-80e2-75adab53987d
Acadian redfish - Gulf of Maine / Georges Bank,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Acadian redfish,Gulf of Maine / Georges Bank,4,6,0.351000011,0.351000011,3.285000086,1.643000007,Sebastes,fasciatus,No,No,Sebastes fasciatus,0.25,NA,NA,3,2,1,1,3,2,3,1,1,1,1,2,1.5,1.118033989,Scorpaenidae,590dd989-103a-4b22-8788-81471386d860
Atlantic cod - Eastern Georges Bank,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Atlantic cod,Eastern Georges Bank,NA,1,NA,NA,NA,NA,Gadus,morhua,Unknown,Unknown,Gadus morhua,NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,Gadidae,bba1800a-dd86-451d-a79b-c5944cfe5231
Haddock - Eastern Georges Bank,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Haddock,Eastern Georges Bank,NA,6,1.444000006,1.444000006,NA,NA,Melanogrammus,aeglefinus,Unknown,Unknown,Melanogrammus aeglefinus,NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,Gadidae,0a3f06b7-a093-46e5-9298-268768d83046
Red hake - Gulf of Maine / Northern Georges Bank,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Red hake,Gulf of Maine / Northern Georges Bank,NA,2,NA,NA,NA,NA,Urophycis,chuss,Unknown,Unknown,Urophycis chuss,0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,Gadidae,634a401e-52eb-4920-ae8f-09adc7855503
Red hake - Southern Georges Bank / Mid-Atlantic,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Red hake,Southern Georges Bank / Mid-Atlantic,1,2,NA,NA,NA,NA,Urophycis,chuss,Unknown,Unknown,Urophycis chuss,0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,Gadidae,634a401e-52eb-4920-ae8f-09adc7855503
Silver hake - Gulf of Maine / Northern Georges Bank,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Silver hake,Gulf of Maine / Northern Georges Bank,1,2,0.039999999,0.039999999,8.921999931,4.460999966,Merluccius,bilinearis,No,No,Merluccius bilinearis,0.25,NA,NA,2,2,2,3,1,2,2,NA,3,1,1,2,1.75,1.25,Merlucciidae,da83bbce-c36f-4b30-a199-32491b04e2d0
Silver hake - Southern Georges Bank / Mid-Atlantic,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Silver hake,Southern Georges Bank / Mid-Atlantic,1,2,0.112999998,0.112999998,1.256000042,0.628000021,Merluccius,bilinearis,Unknown,Unknown,Merluccius bilinearis,0.25,NA,NA,2,2,2,3,1,2,2,NA,3,NA,1,2,2,1.414213562,Merlucciidae,da83bbce-c36f-4b30-a199-32491b04e2d0
Windowpane - Gulf of Maine / Georges Bank,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Windowpane,Gulf of Maine / Georges Bank,NA,2,NA,NA,NA,NA,Scophthalmus,aquosus,Unknown,Unknown,Scophthalmus aquosus,0.75,1,3,3,2,2,3,3,3,3,NA,3,NA,1,2.714285714,2,1.040015698,Scophthalmidae,1ca7e4f6-59f0-4dc8-93fa-81bcfd786423
Windowpane - Southern New England / Mid-Atlantic,NEFMC,Northeast Multispecies,NEFSC,Northeast Shelf,Windowpane,Southern New England / Mid-Atlantic,NA,2,NA,0.611999989,1.703999996,0.851999998,Scophthalmus,aquosus,Unknown,Unknown,Scophthalmus aquosus,1.25,1,3,3,2,2,3,3,3,3,NA,3,NA,1,2.714285714,2,1.040015698,Scophthalmidae,1ca7e4f6-59f0-4dc8-93fa-81bcfd786423
