"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance","family","phylopic_uuid","Survey.Ecosystem","survey"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Bottom Trawl Survey_Spring"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Bottom Trawl Survey_Winter"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Massachusetts DMF Bottom Trawl_Fall"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Massachusetts DMF Bottom Trawl_Spring"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Scup","Atlantic Coast",NA,6,0.899999976,0.899999976,4.046999931,2.023999929,"Stenotomus","chrysops","No","No","Stenotomus chrysops",1,2,3,3,2,2,2,3,3,3,NA,1,1,1,2.571428571,1.6,0.737342166,"Sparidae","19759b22-303b-451f-b4d8-eb6873346a26","Northeast Shelf","Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Bottom Trawl Survey_Fall"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Bottom Trawl Survey_Spring"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Bottom Trawl Survey_Winter"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Massachusetts DMF Bottom Trawl_Fall"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Massachusetts DMF Bottom Trawl_Spring"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","CT bottom trawl survey spring and fall"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","DE, NY, NJ trawl surveys"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Northeast Ecosystem Monitoring (EcoMon)_Summer"
