"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance"
"Chinook salmon - Puget Sound: Nisqually River Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Nisqually River Summer/Fall",NA,4,NA,0.994000018,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: Nooksack Spring Early","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Nooksack Spring Early",NA,4,NA,NA,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: Puyallup Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Puyallup Summer/Fall",NA,4,NA,NA,NA,2.292000055,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: Skagit Spring","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Skagit Spring",NA,4,NA,0.677999973,NA,1.087000012,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: Skagit Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Skagit Summer/Fall",NA,4,NA,0.976000011,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: Skokomish Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Skokomish Summer/Fall",NA,2,0.995999992,0.995999992,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.75,1,2,2,3,2,3,2,3,3,NA,3,NA,1,2.42857142857143,2,1.15175110689979
"Chinook salmon - Puget Sound: Snohomish Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Snohomish Summer/Fall",NA,4,NA,NA,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: Stillaguamish Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: Stillaguamish Summer/Fall",NA,4,NA,NA,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Puget Sound: White River Spring","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Puget Sound: White River Spring",NA,4,NA,0.77700001,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",1,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Grays Harbor Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Grays Harbor Fall",NA,4,0.88499999,0.88499999,2.772000074,1.184000015,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.25,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Grays Harbor Spring","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Grays Harbor Spring",NA,4,NA,NA,3.921000004,1.529000044,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Hoh Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Hoh Fall",NA,4,0.822000027,0.822000027,3.720000029,1.860000014,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.5,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Hoh Spring/Summer","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Hoh Spring/Summer",NA,4,NA,NA,2.278000116,1.139000058,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0.75,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Hoko Summer/Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Hoko Summer/Fall",NA,4,0.282000005,0.282000005,3.023999929,1.511999965,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Queets Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Queets Fall",NA,4,0.907999992,0.907999992,2.23300004,1.116000056,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Queets Spring/Summer","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Queets Spring/Summer",NA,4,NA,NA,0.989000022,0.493999988,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Quillayute Fall","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Quillayute Fall",NA,4,0.792999983,0.792999983,3.969000101,1.983999968,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Quillayute Spring/Summer","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Quillayute Spring/Summer",NA,4,NA,NA,2.328000069,1.164000034,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Quinault Fall Hatchery","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Quinault Fall Hatchery",NA,4,NA,NA,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Willapa Bay Fall Hatchery",NA,4,NA,NA,NA,1.457000017,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Chinook salmon - Washington Coast: Willapa Bay Fall Natural","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Washington Coast: Willapa Bay Fall Natural",NA,4,0.910000026,0.910000026,1.723999977,0.861999989,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Coho salmon - Oregon Production Index Area: Central California Coast","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Central California Coast",NA,2,NA,NA,NA,NA,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1.25,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.57142857142857,2,1.08796758655199
"Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Columbia River Early Hatchery",NA,4,NA,NA,NA,58.91899872,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Columbia River Late Hatchery",NA,4,NA,NA,NA,10.11299992,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Oregon Production Index Area: Lower Columbia Natural","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Lower Columbia Natural",NA,2,0.75,NA,NA,NA,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1.75,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.57142857142857,2,1.08796758655199
"Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Oregon Coast Hatchery",NA,4,NA,NA,NA,NA,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Oregon Production Index Area: Oregon Coast Natural","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Oregon Coast Natural",NA,4,0.920000017,0.920000017,NA,NA,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1.25,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Oregon Production Index Area: Southern Oregon/Northern California Coast",NA,2,NA,NA,NA,NA,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1.5,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.57142857142857,2,1.08796758655199
"Coho salmon - Puget Sound: Hood Canal","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Puget Sound: Hood Canal",NA,4,0.38499999,0.38499999,1.654000044,1.238999963,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Puget Sound: Skagit","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Puget Sound: Skagit",NA,4,0.550000012,0.550000012,3.694999933,2.197999954,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Puget Sound: Snohomish","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Puget Sound: Snohomish",NA,4,0.182999998,0.182999998,2.288000107,1.417999983,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Puget Sound: South Puget Sound Hatchery","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Puget Sound: South Puget Sound Hatchery",NA,4,NA,NA,NA,0.745999992,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Puget Sound: Stillaguamish","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Puget Sound: Stillaguamish",NA,4,0.219999999,0.219999999,5.800000191,3.538000107,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
"Coho salmon - Washington Coast: Grays Harbor","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Coho salmon","Washington Coast: Grays Harbor",NA,4,0.354000002,0.354000002,2.522000074,1.891000032,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.57142857142857,1.75,0.863813330174845
