"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance"
"Rock sole - Central Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Rock sole","Central Gulf of Alaska",NA,6,0.086999997,0.086999997,NA,1.860999942,"Lepidopsetta","bilineata","Unknown","Unknown","Lepidopsetta _ bilineata",NA,NA,NA,3,2,1,1,3,2,3,NA,1,NA,NA,2,2,1.4142135623731
"Rock sole - Western Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Rock sole","Western Gulf of Alaska",NA,6,0.005,0.005,NA,2.190999985,"Lepidopsetta","bilineata","Unknown","Unknown","Lepidopsetta _ bilineata",NA,NA,NA,3,2,1,1,3,2,3,NA,1,NA,NA,2,2,1.4142135623731
"Sharpchin rockfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Sharpchin rockfish","Gulf of Alaska",NA,2,0.089000002,0.089000002,NA,NA,"Sebastes","zacentrus","Unknown","Unknown","Sebastes _ zacentrus",NA,NA,NA,3,1,1,1,2,1,3,NA,3,NA,NA,1.5,3,2.5
"Shortraker rockfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Shortraker rockfish","Gulf of Alaska",NA,2,0.666999996,0.666999996,NA,NA,"Sebastes","borealis","No","Unknown","Sebastes _ borealis",NA,1,2,2,1,1,1,2,1,3,NA,3,2,NA,1.42857142857143,2.25,2.00795611383866
"Walleye pollock - Southeast Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Walleye pollock","Southeast Gulf of Alaska",3,2,0,0,NA,NA,"Gadus","predictive","Unknown","Unknown","Gadus _ chalcogrammus",NA,NA,NA,2,2,2,2,3,2,3,2,3,NA,NA,2.16666666666667,3,2.16666666666667
"Walleye pollock - Western / Central / West Yakutat Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Walleye pollock","Western / Central / West Yakutat Gulf of Alaska",NA,6,0.745000005,0.579999983,NA,1.934000015,"Gadus","predictive","No","No","Gadus _ chalcogrammus",NA,NA,NA,2,2,2,2,3,2,3,NA,1,1,NA,2.16666666666667,1.66666666666667,1.06718737290548
"Pacific chub mackerel - Pacific Coast","PFMC","Coastal Pelagic Species","SWFSC","California Current","Pacific chub mackerel","Pacific Coast",4,6,0.101999998,NA,2.565000057,NA,"Scomber","japonicus","Unknown","Unknown","Scomber _ japonicus",1,NA,NA,3,3,2,3,3,3,3,1,1,NA,1,2.83333333333333,1.66666666666667,0.687184270936277
"Black rockfish - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Black rockfish","Oregon",NA,6,1.138000011,1.138000011,1.809000015,1.131000042,"Sebastes","melanops","Unknown","Unknown","Sebastes _ melanops",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Black rockfish - Point Conception / Oregon Border","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Black rockfish","Point Conception / Oregon Border",NA,6,0.69599998,0.69599998,1.682999969,1.050999999,"Sebastes","melanops","Unknown","Unknown","Sebastes _ melanops",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Black rockfish - South of Point Conception","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Black rockfish","South of Point Conception",NA,6,1.082000017,1.082000017,1.457000017,0.911000013,"Sebastes","melanops","Unknown","Unknown","Sebastes _ melanops",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Black rockfish - Washington","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Black rockfish","Washington",NA,6,0.74000001,0.74000001,1.805999994,1.128999949,"Sebastes","melanops","Unknown","Unknown","Sebastes _ melanops",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Canary rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Canary rockfish","Pacific Coast",NA,6,0.938000023,0.938000023,1.402999997,0.876999974,"Sebastes","pinniger","No","No","Sebastes _ pinniger",1.5,NA,NA,3,1,1,1,2,1,3,NA,1,1,1,1.5,1.5,1.58113883008419
"Copper rockfish - Northern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Copper rockfish","Northern California",NA,6,0.512000024,0.512000024,1.83099997,1.146999955,"Sebastes","caurinus","Unknown","Unknown","Sebastes _ caurinus",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Copper rockfish - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Copper rockfish","Southern California",NA,6,1.120000005,1.120000005,0.637000024,0.398999989,"Sebastes","caurinus","Unknown","Unknown","Sebastes _ caurinus",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Petrale sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Petrale sole","Pacific Coast",NA,6,0.939999998,0.939999998,2.65199995,1.348999977,"Eopsetta","jordani","No","No","Eopsetta _ jordani",0.5,NA,NA,2,2,1,2,3,2,3,NA,1,1,1,2,1.5,1.11803398874989
"Rex sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Rex sole","Pacific Coast",3,6,0.199000001,0.199000001,6.090000153,3.045000076,"Glyptocephalus","zachirus","Unknown","No","Glyptocephalus _ zachirus",NA,NA,NA,3,2,1,2,2,2,3,2,1,2,NA,2,2,1.4142135623731
"Sablefish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Sablefish","Pacific Coast",NA,6,0.531000018,0.531000018,2.519999981,1.575000048,"Anoplopoma","fimbria","No","No","Anoplopoma _ fimbria",0.75,1,3,2,2,1,2,1,1,1,NA,1,1,1,1.71428571428571,1,1.28571428571429
"Shortspine thornyhead - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Shortspine thornyhead","Pacific Coast",NA,6,0.879999995,0.879999995,1.574000001,0.984000027,"Sebastolobus","alascanus","No","No","Sebastolobus _ alascanus",0.75,1,3,2,1,1,1,3,1,3,NA,1,1,1,1.71428571428571,1.4,1.34649961919408
"Widow rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Widow rockfish","Pacific Coast",NA,6,0.853999972,0.853999972,3.677999973,2.299000025,"Sebastes","entomelas","No","No","Sebastes _ entomelas",1,NA,NA,3,1,1,1,2,1,3,NA,1,1,1,1.5,1.5,1.58113883008419
"Yelloweye rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Yelloweye rockfish","Pacific Coast",4,6,0.187999994,0.187999994,1.13499999,0.708999991,"Sebastes","ruberrimus","Unknown","Unknown","Sebastes _ ruberrimus",1.25,NA,NA,2,1,1,1,2,1,3,1,1,NA,1,1.33333333333333,1.66666666666667,1.7950549357115
"Pink salmon - Puget Sound","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Pink salmon","Puget Sound",1,3,NA,NA,8.380000114,4.190000057,"Oncorhynchus","gorbuscha","Unknown","Unknown","Oncorhynchus _ gorbuscha",0,1,2,2,3,2,3,2,3,3,NA,2,NA,1,2.42857142857143,1.75,0.942884198746006
"Bigeye tuna - Central Western Pacific","PFMC / WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SWFSC / PIFSC","Pacific Highly Migratory","Bigeye tuna","Western and Central Pacific",4,6,0.600000024,0.600000024,NA,1.820000052,"Thunnus","obesus","Unknown","Unknown","Thunnus _ obesus",NA,1,3,1,2,1,2,2,2,3,1,1,NA,NA,1.85714285714286,1.66666666666667,1.32308990375712
"Black sea bass - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Black sea bass","Southern Atlantic Coast",4,6,0.79400003,0.79400003,0.451000005,0.282000005,"Centropristis","striata","No","No","Centropristis _ striata",1.25,2,2,3,3,2,3,3,3,3,1,1,1,1,2.71428571428571,1.6,0.664554477120743
"Scamp - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Scamp","Southern Atlantic Coast",NA,6,0.907000005,0.906000018,0.361999989,0.193000004,"Mycteroperca","phenax","No","Unknown","Mycteroperca _ phenax",1.5,NA,NA,2,2,1,2,3,2,3,NA,1,2,1,2,1.75,1.25
"King mackerel - Gulf of Mexico","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Gulf of Mexico","King mackerel","Gulf of Mexico",4,6,0.824000001,0.824000001,1.116000056,0.921999991,"Scomberomorus","cavalla","No","No","Scomberomorus _ cavalla",0.75,2,3,2,2,1,2,1,1,2,1,1,1,1,1.71428571428571,1.4,1.34649961919408
"Spanish mackerel - Gulf of Mexico","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Gulf of Mexico","Spanish mackerel","Gulf of Mexico",4,6,0.927999973,0.927999973,1.340000033,0.828000009,"Scomberomorus","maculatus","No","No","Scomberomorus _ maculatus",0.5,2,3,2,2,2,3,1,2,2,1,1,1,1,2.14285714285714,1.4,0.945882591842677
"Spanish mackerel - Southern Atlantic Coast","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Southeast Shelf","Spanish mackerel","Southern Atlantic Coast",NA,6,0.76700002,0.76700002,1.399999976,1.049999952,"Scomberomorus","maculatus","No","No","Scomberomorus _ maculatus",1.5,2,3,2,2,2,3,1,2,2,NA,1,1,1,2.14285714285714,1.4,0.945882591842677
"Black jack - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Black jack","American Samoa",NA,6,0.015,0.015,4.333000183,2.811000109,"Caranx","lugubris","Unknown","Unknown","Caranx _ lugubris",NA,NA,NA,2,2,2,3,3,3,3,NA,1,NA,NA,2.5,2,1.11803398874989
"Common bluestripe snapper - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Common bluestripe snapper","American Samoa",NA,6,0.003,0.003,7.633999825,2.440999985,"Lutjanus","kasmira","Unknown","Unknown","Lutjanus _ kasmira",NA,NA,NA,3,2,2,2,2,2,3,NA,1,NA,NA,2.16666666666667,2,1.30170827931778
"Flame snapper - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Flame snapper","American Samoa",NA,6,0.057,0.057,1.70599997,1.536000013,"Etelis","coruscans","Unknown","Unknown","Etelis _ coruscans",NA,NA,NA,2,2,1,1,2,2,3,NA,1,NA,NA,1.66666666666667,2,1.66666666666667
"Golden eye jobfish - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Golden eye jobfish","American Samoa",NA,6,0.004,0.004,3.302000046,2.664000034,"Pristipomoides","flavipinnis","Unknown","Unknown","Pristipomoides _ flavipinnis",NA,1,3,3,3,3,3,3,3,3,NA,1,NA,NA,3,1.66666666666667,0.666666666666667
"Green jobfish - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Green jobfish","American Samoa",NA,6,0.046,0.046,1.703999996,1.396999955,"Aprion","virescens","Unknown","Unknown","Aprion _ virescens",NA,1,3,2,3,2,3,3,3,3,NA,1,NA,NA,2.71428571428571,1.66666666666667,0.725311724367991
"Oblique-banded snapper - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Oblique-banded snapper","American Samoa",NA,6,0.005,0.005,3.295000076,2.71600008,"Pristipomoides","zonatus","Unknown","Unknown","Pristipomoides _ zonatus",NA,1,3,3,2,2,3,3,3,3,NA,1,NA,NA,2.71428571428571,1.66666666666667,0.725311724367991
"Rusty jobfish - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Rusty jobfish","American Samoa",NA,6,0.007,0.007,3.086999893,2.530999899,"Aphareus","rutilans","Unknown","Unknown","Aphareus _ rutilans",NA,1,3,2,2,1,2,3,2,3,NA,1,NA,NA,2.14285714285714,1.66666666666667,1.08588135723727
"Spotcheek emperor - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Spotcheek emperor","American Samoa",NA,6,0.022,0.022,3.438999891,2.198999882,"Lethrinus","rubrioperculatus","Unknown","Unknown","Lethrinus _ rubrioperculatus",NA,NA,NA,3,2,2,2,2,2,3,NA,1,NA,NA,2.16666666666667,2,1.30170827931778
"Yellow-edged lyretail - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Yellow-edged lyretail","American Samoa",NA,6,0.007,0.007,4.176000118,2.661999941,"Variola","louti","Unknown","Unknown","Variola _ louti",NA,NA,NA,2,2,1,3,3,3,3,NA,1,NA,NA,2.33333333333333,2,1.20185042515466
"Albacore - North Pacific","WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","PIFSC","Pacific Highly Migratory","Albacore","North Pacific",4,6,3.596999884,3.596999884,5.833000183,3.032999992,"Thunnus","alalunga","Unknown","Unknown","Thunnus _ alalunga",0.25,NA,NA,1,2,1,2,2,2,3,1,1,NA,1,1.66666666666667,1.66666666666667,1.49071198499986
"Blue shark - Pacific","WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","PIFSC","Pacific Highly Migratory","Blue shark","Pacific",NA,5,NA,0.433999985,NA,1.113000035,"Prionace","glauca","Unknown","Unknown","Prionace _ glauca",NA,NA,NA,1,2,1,1,1,1,1,NA,1,NA,NA,1.16666666666667,1,1.83333333333333
"Striped marlin - Central Western Pacific","WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","PIFSC","Pacific Highly Migratory","Striped marlin","Central Western Pacific",NA,5,1.282999992,1.078999996,0.463,0.58099997,"Kajikia","audax","Unknown","Unknown","Kajikia _ audax",NA,1,3,1,2,2,3,1,2,1,NA,1,NA,NA,2,1,1
"Yellowfin tuna - Central Western Pacific","WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","PIFSC","Pacific Highly Migratory","Yellowfin tuna","Central Western Pacific",NA,5,0.513999999,0.513999999,2.414999962,2.309999943,"Thunnus","albacares","Unknown","Unknown","Thunnus _ albacares",NA,1,3,1,3,2,3,2,2,3,NA,1,NA,NA,2.28571428571429,1.66666666666667,0.977061168032533
"Atlantic menhaden - Atlantic Coast","ASMFC","ASMFC Not In FMP","NEFSC / SEFSC","Northeast Shelf / Southeast Shelf","Atlantic menhaden","Atlantic Coast",NA,6,0.280999988,NA,1.722000003,1.281999946,"Brevoortia","tyrannus","Unknown","Unknown","Brevoortia _ tyrannus",NA,2,3,3,2,2,3,3,3,3,NA,1,NA,NA,2.71428571428571,2,1.04001569846865
"Skipjack tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Skipjack tuna","Western Atlantic",NA,5,NA,0.409999996,NA,1.600000024,"Katsuwonus","pelamis","Unknown","Unknown","Katsuwonus _ pelamis",1.25,1,3,2,3,3,3,2,3,3,NA,1,NA,1,2.71428571428571,1.5,0.575875553449896
"Swordfish - North Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Swordfish","North Atlantic",NA,5,NA,0.800000012,NA,1.080000043,"Xiphias","gladius","Unknown","Unknown","Xiphias _ gladius",1,1,3,1,2,1,2,2,2,3,NA,1,NA,1,1.85714285714286,1.5,1.24744637118378
"Queen triggerfish - Puerto Rico","CFMC","Puerto Rico Fishery Management Plan","SEFSC","Caribbean Sea","Queen triggerfish","Puerto Rico",NA,6,0.875999987,0.875999987,1.54400003,1.161999941,"Balistes","vetula","Unknown","Unknown","Balistes _ vetula",NA,NA,NA,3,3,3,3,3,3,3,NA,1,NA,NA,3,2,1
"Queen triggerfish - St. Croix","CFMC","St. Croix Fishery Management Plan","SEFSC","Caribbean Sea","Queen triggerfish","St. Croix",NA,6,NA,NA,NA,NA,"Balistes","vetula","Unknown","Unknown","Balistes _ vetula",NA,NA,NA,3,3,3,3,3,3,3,NA,1,NA,NA,3,2,1
"Gray snapper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Gray snapper","Gulf of Mexico",4,6,0.561999977,0.561999977,3.690999985,1.845000029,"Lutjanus","griseus","No","No","Lutjanus _ griseus",0.75,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1.6,1.16619037896906
"Scamp - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Scamp","Gulf of Mexico",NA,6,0.537999988,0.537999988,2.154000044,1.616000056,"Mycteroperca","phenax","Unknown","Unknown","Mycteroperca _ phenax",NA,NA,NA,2,2,1,2,3,2,3,NA,1,NA,NA,2,2,1.4142135623731
"Pacific halibut - Pacific Coast / Alaska","IPHC","Species Managed Under International Agreement - IPHC","NWFSC / AFSC","California Current / Alaska Ecosystem Complex","Pacific halibut","Pacific Coast / Alaska",4,6,NA,NA,NA,NA,"Hippoglossus","stenolepis","Unknown","Unknown","Hippoglossus _ stenolepis",NA,1,3,1,1,1,1,3,2,3,1,1,NA,NA,1.71428571428571,1.66666666666667,1.44827679292815
"Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Butterfish","Gulf of Maine / Cape Hatteras",5,6,NA,0.028999999,3.540999889,1.769999981,"Peprilus","triacanthus","No","No","Peprilus _ triacanthus",0.25,1,3,3,3,3,3,3,3,3,1,1,1,1,3,1.4,0.4
"Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf","Atlantic herring","Northwestern Atlantic Coast",NA,6,0.305999994,0.305999994,0.421000004,0.209999993,"Clupea","harengus","No","Yes","Clupea _ harengus",0.75,NA,NA,3,2,1,2,2,2,3,NA,1,3,1,2,2,1.4142135623731
"American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","American plaice","Gulf of Maine / Georges Bank",NA,6,0.108999997,0.108999997,2.032999992,0.986999989,"Hippoglossoides","platessoides","No","No","Hippoglossoides _ platessoides",0.75,NA,NA,2,2,1,1,3,2,3,NA,1,1,1,1.83333333333333,1.5,1.26929551764398
"Atlantic halibut - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic halibut","Northwestern Atlantic Coast",NA,1,NA,NA,NA,NA,"Hippoglossus","hippoglossus","Unknown","Unknown","Hippoglossus _ hippoglossus",2.75,NA,NA,1,1,1,1,3,2,3,NA,3,NA,2,1.5,2.66666666666667,2.24227067451228
"Atlantic wolffish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic wolffish","Gulf of Maine / Georges Bank",4,5,0.021,0.021,0.915000021,0.456999987,"Anarhichas","lupus","Unknown","Unknown","Anarhichas _ lupus",0.5,NA,NA,2,1,1,1,2,1,3,1,1,NA,1,1.33333333333333,1.66666666666667,1.7950549357115
"Haddock - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Georges Bank",NA,6,0.547999978,0.547999978,1.319000006,0.658999979,"Melanogrammus","aeglefinus","No","No","Melanogrammus _ aeglefinus",0.75,1,3,2,2,2,2,2,2,3,NA,1,1,1,2.14285714285714,1.4,0.945882591842677
"Haddock - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Gulf of Maine",NA,6,1.108999968,1.108999968,5.399000168,2.698999882,"Melanogrammus","aeglefinus","Yes","No","Melanogrammus _ aeglefinus",1,1,3,2,2,2,2,2,2,3,NA,1,3,1,2.14285714285714,1.8,1.17247340163904
"Ocean pout - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Ocean pout","Northwestern Atlantic Coast",1,2,0.307999998,0.307999998,0.105999999,0.052999999,"Zoarces","americanus","Unknown","Unknown","Zoarces _ americanus",1.25,NA,NA,2,2,1,2,2,2,3,NA,3,NA,1,1.83333333333333,2.33333333333333,1.77169096878911
"Pollock - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Pollock","Gulf of Maine / Georges Bank",NA,6,0.221000001,0.221000001,3.811000109,1.906000018,"Pollachius","virens","No","No","Pollachius _ virens",0.25,1,3,2,2,1,2,3,2,3,NA,1,1,1,2.14285714285714,1.4,0.945882591842677
"White hake - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","White hake","Gulf of Maine / Georges Bank",NA,6,0.646000028,0.646000028,1.383000016,0.691999972,"Urophycis","tenuis","Unknown","Unknown","Urophycis _ tenuis",0.75,NA,NA,2,2,1,1,3,2,3,NA,1,NA,1,1.83333333333333,1.66666666666667,1.34370962471643
"Winter flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Winter flounder","Georges Bank",NA,4,0.167999998,0.167999998,1.200000048,0.600000024,"Pseudopleuronectes","americanus","No","No - Rebuilding","Pseudopleuronectes _ americanus",1.25,NA,NA,3,2,2,2,3,3,3,NA,2,1,1,2.5,1.75,0.901387818865997
"Winter flounder - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Winter flounder","Gulf of Maine",1,2,0.225999996,NA,NA,NA,"Pseudopleuronectes","americanus","No","Unknown","Pseudopleuronectes _ americanus",1.5,NA,NA,3,2,2,2,3,3,3,NA,3,2,1,2.5,2.25,1.34629120178363
"Winter flounder - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Winter flounder","Southern New England / Mid-Atlantic",4,6,0.230000004,0.230000004,2.023999929,1.011999965,"Pseudopleuronectes","americanus","Unknown","Unknown","Pseudopleuronectes _ americanus",1,NA,NA,3,2,2,2,3,3,3,1,1,NA,1,2.5,1.66666666666667,0.833333333333333
"Witch flounder - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Witch flounder","Northwestern Atlantic Coast",NA,2,NA,NA,NA,NA,"Glyptocephalus","cynoglossus","Unknown","Unknown","Glyptocephalus _ cynoglossus",1.25,NA,NA,3,2,1,2,2,2,3,NA,3,NA,1,2,2.33333333333333,1.66666666666667
"Yellowtail flounder - Cape Cod / Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Cape Cod / Gulf of Maine",NA,4,0.323000014,0.323000014,1.993000031,0.996999979,"Limanda","ferruginea","No","No","Limanda _ ferruginea",0.25,NA,NA,3,2,2,2,3,2,3,NA,2,1,1,2.33333333333333,1.75,1.00346621489936
"Yellowtail flounder - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Southern New England / Mid-Atlantic",NA,6,0.234999999,0.234999999,0.082000002,0.041000001,"Limanda","ferruginea","Unknown","Unknown","Limanda _ ferruginea",0,NA,NA,3,2,2,2,3,2,3,NA,1,NA,1,2.33333333333333,1.66666666666667,0.942809041582063
"Goosefish - Gulf of Maine / Northern Georges Bank","NEFMC / MAFMC","Monkfish","NEFSC","Northeast Shelf","Goosefish","Gulf of Maine / Northern Georges Bank",NA,2,NA,NA,NA,NA,"Lophius","americanus","Unknown","Unknown","Lophius _ americanus",0.25,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.33333333333333,1.66666666666667
"Goosefish - Southern Georges Bank / Mid-Atlantic","NEFMC / MAFMC","Monkfish","NEFSC","Northeast Shelf","Goosefish","Southern Georges Bank / Mid-Atlantic",NA,2,0.414000005,NA,NA,NA,"Lophius","americanus","Unknown","Unknown","Lophius _ americanus",0.25,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.33333333333333,1.66666666666667
"Pacific sleeper shark - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Pacific sleeper shark","Bering Sea / Aleutian Islands",NA,1,0.32100001,0.32100001,NA,NA,"Somniosus","pacificus","Unknown","Unknown","Somniosus _ pacificus",NA,1,3,2,2,1,1,1,1,1,NA,3,NA,NA,1.57142857142857,1.66666666666667,1.57647098640446
"Shortraker rockfish - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Shortraker rockfish","Bering Sea / Aleutian Islands",NA,2,0.699999988,0.699999988,NA,NA,"Sebastes","borealis","Unknown","Unknown","Sebastes _ borealis",NA,1,2,2,1,1,1,2,1,3,NA,3,NA,NA,1.42857142857143,2.33333333333333,2.06086523889356
"Walleye pollock - Bogoslof","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Walleye pollock","Bogoslof",NA,2,0,0,NA,NA,"Gadus","predictive","No","Unknown","Gadus _ chalcogrammus",NA,NA,NA,2,2,2,2,3,2,3,NA,3,2,NA,2.16666666666667,2.66666666666667,1.86338998124982
"North Pacific spiny dogfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","North Pacific spiny dogfish","Gulf of Alaska",NA,2,0.397000015,0.397000015,NA,NA,"Squalus","suckleyi","Unknown","Unknown","Squalus _ suckleyi",NA,NA,NA,2,1,1,1,1,1,1,NA,3,NA,NA,1.16666666666667,2,2.08832734769028
"Shortspine thornyhead - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Shortspine thornyhead","Gulf of Alaska",NA,2,0.166999996,0.166999996,NA,NA,"Sebastolobus","alascanus","Unknown","Unknown","Sebastolobus _ alascanus",NA,1,3,2,1,1,1,3,1,3,NA,3,NA,NA,1.71428571428571,2.33333333333333,1.85225241321683
"Yelloweye rockfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Yelloweye rockfish","Gulf of Alaska",NA,2,0.625,0.625,NA,NA,"Sebastes","ruberrimus","Unknown","Unknown","Sebastes _ ruberrimus",NA,NA,NA,2,1,1,1,2,1,3,NA,3,NA,NA,1.33333333333333,3,2.60341655863555
