"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance","family","phylopic_uuid","Survey.Ecosystem","survey","type","type_and_region"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Bottom Trawl Survey_Winter","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Massachusetts DMF Bottom Trawl_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Massachusetts DMF Bottom Trawl_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","CT bottom trawl survey spring and fall","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","DE, NY, NJ trawl surveys","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","Northeast Ecosystem Monitoring (EcoMon)_Summer","midwater trawl","Northeast Shelf midwater trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","RI trawl survey","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","URI GSO trawl survey","bottom trawl","Northeast Shelf bottom trawl"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","VIMS ChesMMAP bottom trawl","bottom trawl","Northeast Shelf bottom trawl"
"Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Acadian redfish","Gulf of Maine / Georges Bank",4,6,0.351000011,0.351000011,3.285000086,1.643000007,"Sebastes","fasciatus","No","No","Sebastes fasciatus",0.25,NA,NA,3,2,1,1,3,2,3,1,1,1,1,2,1.5,1.118033989,"Scorpaenidae","590dd989-103a-4b22-8788-81471386d860","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Acadian redfish","Gulf of Maine / Georges Bank",4,6,0.351000011,0.351000011,3.285000086,1.643000007,"Sebastes","fasciatus","No","No","Sebastes fasciatus",0.25,NA,NA,3,2,1,1,3,2,3,1,1,1,1,2,1.5,1.118033989,"Scorpaenidae","590dd989-103a-4b22-8788-81471386d860","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic cod","Eastern Georges Bank",NA,1,NA,NA,NA,NA,"Gadus","morhua","Unknown","Unknown","Gadus morhua",NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,"Gadidae","bba1800a-dd86-451d-a79b-c5944cfe5231","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic cod","Eastern Georges Bank",NA,1,NA,NA,NA,NA,"Gadus","morhua","Unknown","Unknown","Gadus morhua",NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,"Gadidae","bba1800a-dd86-451d-a79b-c5944cfe5231","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic cod","Eastern Georges Bank",NA,1,NA,NA,NA,NA,"Gadus","morhua","Unknown","Unknown","Gadus morhua",NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,"Gadidae","bba1800a-dd86-451d-a79b-c5944cfe5231","Northeast Shelf","DFO Canada bottom trawl","bottom trawl","Northeast Shelf bottom trawl"
"Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Eastern Georges Bank",NA,6,1.444000006,1.444000006,NA,NA,"Melanogrammus","aeglefinus","Unknown","Unknown","Melanogrammus aeglefinus",NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,"Gadidae","0a3f06b7-a093-46e5-9298-268768d83046","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Eastern Georges Bank",NA,6,1.444000006,1.444000006,NA,NA,"Melanogrammus","aeglefinus","Unknown","Unknown","Melanogrammus aeglefinus",NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,"Gadidae","0a3f06b7-a093-46e5-9298-268768d83046","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Eastern Georges Bank",NA,6,1.444000006,1.444000006,NA,NA,"Melanogrammus","aeglefinus","Unknown","Unknown","Melanogrammus aeglefinus",NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,"Gadidae","0a3f06b7-a093-46e5-9298-268768d83046","Northeast Shelf","DFO Canada bottom trawl","bottom trawl","Northeast Shelf bottom trawl"
"Red hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Gulf of Maine / Northern Georges Bank",NA,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Red hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Gulf of Maine / Northern Georges Bank",NA,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Red hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Southern Georges Bank / Mid-Atlantic",1,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Red hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Red hake","Southern Georges Bank / Mid-Atlantic",1,2,NA,NA,NA,NA,"Urophycis","chuss","Unknown","Unknown","Urophycis chuss",0,NA,NA,2,2,1,2,3,2,3,NA,3,NA,1,2,2.333333333,1.666666667,"Gadidae","634a401e-52eb-4920-ae8f-09adc7855503","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Silver hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Gulf of Maine / Northern Georges Bank",1,2,0.039999999,0.039999999,8.921999931,4.460999966,"Merluccius","bilinearis","No","No","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,1,1,2,1.75,1.25,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Silver hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Gulf of Maine / Northern Georges Bank",1,2,0.039999999,0.039999999,8.921999931,4.460999966,"Merluccius","bilinearis","No","No","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,1,1,2,1.75,1.25,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Silver hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Southern Georges Bank / Mid-Atlantic",1,2,0.112999998,0.112999998,1.256000042,0.628000021,"Merluccius","bilinearis","Unknown","Unknown","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,NA,1,2,2,1.414213562,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Silver hake - Southern Georges Bank / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Silver hake","Southern Georges Bank / Mid-Atlantic",1,2,0.112999998,0.112999998,1.256000042,0.628000021,"Merluccius","bilinearis","Unknown","Unknown","Merluccius bilinearis",0.25,NA,NA,2,2,2,3,1,2,2,NA,3,NA,1,2,2,1.414213562,"Merlucciidae","da83bbce-c36f-4b30-a199-32491b04e2d0","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Windowpane - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Windowpane","Gulf of Maine / Georges Bank",NA,2,NA,NA,NA,NA,"Scophthalmus","aquosus","Unknown","Unknown","Scophthalmus aquosus",0.75,1,3,3,2,2,3,3,3,3,NA,3,NA,1,2.714285714,2,1.040015698,"Scophthalmidae","1ca7e4f6-59f0-4dc8-93fa-81bcfd786423","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Windowpane - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Windowpane","Southern New England / Mid-Atlantic",NA,2,NA,0.611999989,1.703999996,0.851999998,"Scophthalmus","aquosus","Unknown","Unknown","Scophthalmus aquosus",1.25,1,3,3,2,2,3,3,3,3,NA,3,NA,1,2.714285714,2,1.040015698,"Scophthalmidae","1ca7e4f6-59f0-4dc8-93fa-81bcfd786423","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Georges Bank",NA,2,0.090000004,0.090000004,NA,NA,"Limanda","ferruginea","Unknown","Unknown","Limanda ferruginea",0.5,NA,NA,3,2,2,2,3,2,3,NA,3,NA,1,2.333333333,2.333333333,1.490711985,"Pleuronectidae","4db55c0c-77b6-48f8-b7b6-1e5ff9c73787","Northeast Shelf","Bottom Trawl Survey_Fall","bottom trawl","Northeast Shelf bottom trawl"
"Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Georges Bank",NA,2,0.090000004,0.090000004,NA,NA,"Limanda","ferruginea","Unknown","Unknown","Limanda ferruginea",0.5,NA,NA,3,2,2,2,3,2,3,NA,3,NA,1,2.333333333,2.333333333,1.490711985,"Pleuronectidae","4db55c0c-77b6-48f8-b7b6-1e5ff9c73787","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
"Yellowtail flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Yellowtail flounder","Georges Bank",NA,2,0.090000004,0.090000004,NA,NA,"Limanda","ferruginea","Unknown","Unknown","Limanda ferruginea",0.5,NA,NA,3,2,2,2,3,2,3,NA,3,NA,1,2.333333333,2.333333333,1.490711985,"Pleuronectidae","4db55c0c-77b6-48f8-b7b6-1e5ff9c73787","Northeast Shelf","DFO Canada bottom trawl","bottom trawl","Northeast Shelf bottom trawl"
"Little skate - Georges Bank / Southern New England","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf","Little skate","Georges Bank / Southern New England",NA,2,1.004999995,NA,1.159999967,0.579999983,"Leucoraja","erinacea","Unknown","Unknown","Leucoraja erinacea",1.25,NA,NA,3,2,1,2,1,1,1,NA,3,NA,1,1.666666667,1.666666667,1.490711985,"Rajidae","f1c15c22-db53-4753-837e-5bb439c591fa","Northeast Shelf","Bottom Trawl Survey_Spring","bottom trawl","Northeast Shelf bottom trawl"
